'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:24:43.152',0.104,-,-,67.200
'34:24:43.160',0.104,-,-,69.600
'34:24:43.168',0.104,-,-,72.800
'34:24:43.176',0.096,-,-,76.000
'34:24:43.184',0.080,-,-,78.400
'34:24:43.192',0.080,-,-,80.800
'34:24:43.200',0.072,-,-,83.200
'34:24:43.208',0.056,-,-,84.800
'34:24:43.216',0.048,-,-,85.600
'34:24:43.224',0.040,-,-,85.600
'34:24:43.232',0.024,-,-,85.600
'34:24:43.240',0.016,-,-,84.800
'34:24:43.248',0.000,-,-,83.200
'34:24:43.256',-0.016,-,-,80.800
'34:24:43.264',-0.024,-,-,78.400
'34:24:43.272',-0.040,-,-,76.000
'34:24:43.280',-0.048,-,-,72.800
'34:24:43.288',-0.056,-,-,70.400
'34:24:43.296',-0.064,-,-,67.200
'34:24:43.304',-0.072,-,-,64.000
'34:24:43.312',-0.072,-,-,61.600
'34:24:43.320',-0.072,-,-,59.200
'34:24:43.328',-0.080,-,-,57.600
'34:24:43.336',-0.080,-,-,56.000
'34:24:43.344',-0.080,-,-,54.400
'34:24:43.352',-0.080,-,-,53.600
'34:24:43.360',-0.080,-,-,52.800
'34:24:43.368',-0.072,-,-,52.800
'34:24:43.376',-0.072,-,-,52.800
'34:24:43.384',-0.072,-,-,52.800
'34:24:43.392',-0.072,-,-,53.600
'34:24:43.400',-0.064,-,-,53.600
'34:24:43.408',-0.064,-,-,54.400
'34:24:43.416',-0.064,-,-,55.200
'34:24:43.424',-0.064,-,-,56.000
'34:24:43.432',-0.072,-,-,56.800
'34:24:43.440',-0.072,-,-,56.800
'34:24:43.448',-0.072,-,-,57.600
'34:24:43.456',-0.072,-,-,57.600
'34:24:43.464',-0.080,-,-,57.600
'34:24:43.472',-0.088,-,-,57.600
'34:24:43.480',-0.088,-,-,57.600
'34:24:43.488',-0.096,-,-,57.600
'34:24:43.496',-0.096,-,-,57.600
'34:24:43.504',-0.096,-,-,57.600
'34:24:43.512',-0.088,-,-,56.800
'34:24:43.520',-0.080,-,-,56.800
'34:24:43.528',-0.072,-,-,56.000
'34:24:43.536',-0.064,-,-,56.000
'34:24:43.544',-0.064,-,-,55.200
'34:24:43.552',-0.056,-,-,55.200
'34:24:43.560',-0.056,-,-,54.400
'34:24:43.568',-0.056,-,-,54.400
'34:24:43.576',-0.048,-,-,53.600
'34:24:43.584',-0.048,-,-,53.600
'34:24:43.592',-0.048,-,-,53.600
'34:24:43.600',-0.048,-,-,52.800
'34:24:43.608',-0.056,-,-,52.000
'34:24:43.616',-0.056,-,-,52.000
'34:24:43.624',-0.056,-,-,52.000
'34:24:43.632',-0.048,-,-,51.200
'34:24:43.640',-0.048,-,-,51.200
'34:24:43.648',-0.056,-,-,51.200
'34:24:43.656',-0.056,-,-,50.400
'34:24:43.664',-0.056,-,-,50.400
'34:24:43.672',-0.056,-,-,49.600
'34:24:43.680',-0.056,-,-,49.600
'34:24:43.688',-0.048,-,-,49.600
'34:24:43.696',-0.048,-,-,49.600
'34:24:43.704',-0.048,-,-,48.800
'34:24:43.712',-0.040,-,-,48.800
'34:24:43.720',-0.040,-,-,48.800
'34:24:43.728',-0.040,-,-,48.800
'34:24:43.736',-0.032,-,-,48.800
'34:24:43.744',-0.032,-,-,48.000
'34:24:43.752',-0.032,-,-,48.000
'34:24:43.760',-0.040,-,-,48.000
'34:24:43.768',-0.040,-,-,48.000
'34:24:43.776',-0.048,-,-,48.000
'34:24:43.784',-0.048,-,-,48.000
'34:24:43.792',-0.048,-,-,48.000
'34:24:43.800',-0.040,-,-,48.000
'34:24:43.808',-0.040,-,-,48.000
'34:24:43.816',-0.032,-,-,47.200
'34:24:43.824',0.016,-,-,47.200
'34:24:43.832',0.120,-,-,47.200
'34:24:43.840',0.264,-,-,47.200
'34:24:43.848',0.392,-,-,47.200
'34:24:43.856',0.472,-,-,46.400
'34:24:43.864',0.496,-,-,46.400
'34:24:43.872',0.432,-,-,46.400
'34:24:43.880',0.280,-,-,46.400
'34:24:43.888',0.104,-,-,46.400
'34:24:43.896',-0.008,-,-,46.400
'34:24:43.904',-0.048,-,-,45.600
'34:24:43.912',-0.056,-,-,45.600
