'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:29:53.152',-0.096,-,-,80.800
'34:29:53.160',-0.096,-,-,78.400
'34:29:53.168',-0.088,-,-,76.000
'34:29:53.176',-0.088,-,-,73.600
'34:29:53.184',-0.080,-,-,70.400
'34:29:53.192',-0.072,-,-,67.200
'34:29:53.200',-0.064,-,-,64.800
'34:29:53.208',-0.056,-,-,61.600
'34:29:53.216',-0.056,-,-,59.200
'34:29:53.224',-0.064,-,-,56.800
'34:29:53.232',-0.064,-,-,55.200
'34:29:53.240',-0.064,-,-,53.600
'34:29:53.248',-0.064,-,-,52.800
'34:29:53.256',-0.056,-,-,52.000
'34:29:53.264',-0.056,-,-,51.200
'34:29:53.272',-0.056,-,-,51.200
'34:29:53.280',-0.056,-,-,51.200
'34:29:53.288',-0.064,-,-,52.000
'34:29:53.296',-0.064,-,-,52.000
'34:29:53.304',-0.072,-,-,52.800
'34:29:53.312',-0.072,-,-,52.800
'34:29:53.320',-0.072,-,-,53.600
'34:29:53.328',-0.064,-,-,54.400
'34:29:53.336',-0.064,-,-,54.400
'34:29:53.344',-0.072,-,-,55.200
'34:29:53.352',-0.064,-,-,56.000
'34:29:53.360',-0.056,-,-,56.000
'34:29:53.368',-0.056,-,-,56.000
'34:29:53.376',-0.048,-,-,56.800
'34:29:53.384',-0.048,-,-,56.800
'34:29:53.392',-0.048,-,-,56.800
'34:29:53.400',-0.056,-,-,56.800
'34:29:53.408',-0.072,-,-,56.000
'34:29:53.416',-0.080,-,-,56.000
'34:29:53.424',-0.080,-,-,56.000
'34:29:53.432',-0.080,-,-,55.200
'34:29:53.440',-0.080,-,-,55.200
'34:29:53.448',-0.072,-,-,54.400
'34:29:53.456',-0.064,-,-,54.400
'34:29:53.464',-0.072,-,-,53.600
'34:29:53.472',-0.072,-,-,53.600
'34:29:53.480',-0.064,-,-,52.800
'34:29:53.488',-0.064,-,-,52.800
'34:29:53.496',-0.056,-,-,52.000
'34:29:53.504',-0.056,-,-,51.200
'34:29:53.512',-0.048,-,-,51.200
'34:29:53.520',-0.048,-,-,50.400
'34:29:53.528',-0.016,-,-,50.400
'34:29:53.536',0.080,-,-,49.600
'34:29:53.544',0.224,-,-,49.600
'34:29:53.552',0.360,-,-,49.600
'34:29:53.560',0.440,-,-,48.800
'34:29:53.568',0.448,-,-,48.800
'34:29:53.576',0.400,-,-,48.800
'34:29:53.584',0.288,-,-,48.000
'34:29:53.592',0.128,-,-,48.000
'34:29:53.600',0.000,-,-,48.000
'34:29:53.608',-0.064,-,-,48.000
'34:29:53.616',-0.080,-,-,48.000
'34:29:53.624',-0.080,-,-,47.200
'34:29:53.632',-0.072,-,-,47.200
'34:29:53.640',-0.072,-,-,47.200
'34:29:53.648',-0.080,-,-,47.200
'34:29:53.656',-0.072,-,-,47.200
'34:29:53.664',-0.072,-,-,47.200
'34:29:53.672',-0.064,-,-,47.200
'34:29:53.680',-0.048,-,-,46.400
'34:29:53.688',-0.040,-,-,46.400
'34:29:53.696',-0.032,-,-,47.200
'34:29:53.704',-0.024,-,-,47.200
'34:29:53.712',-0.016,-,-,48.800
'34:29:53.720',-0.016,-,-,50.400
'34:29:53.728',-0.008,-,-,53.600
'34:29:53.736',-0.008,-,-,57.600
'34:29:53.744',-0.008,-,-,62.400
'34:29:53.752',0.000,-,-,67.200
'34:29:53.760',0.000,-,-,72.800
'34:29:53.768',0.008,-,-,78.400
'34:29:53.776',0.008,-,-,83.200
'34:29:53.784',0.016,-,-,88.800
'34:29:53.792',0.016,-,-,93.600
'34:29:53.800',0.016,-,-,97.600
'34:29:53.808',0.008,-,-,100.800
'34:29:53.816',0.008,-,-,103.200
'34:29:53.824',0.008,-,-,105.600
'34:29:53.832',0.008,-,-,106.400
'34:29:53.840',0.016,-,-,107.200
'34:29:53.848',0.024,-,-,107.200
'34:29:53.856',0.032,-,-,106.400
'34:29:53.864',0.040,-,-,105.600
'34:29:53.872',0.040,-,-,104.000
'34:29:53.880',0.032,-,-,103.200
'34:29:53.888',0.024,-,-,100.800
'34:29:53.896',0.016,-,-,99.200
'34:29:53.904',0.008,-,-,96.800
'34:29:53.912',0.000,-,-,94.400
'34:29:53.920',-0.008,-,-,92.000
'34:29:53.928',-0.016,-,-,88.800
'34:29:53.936',-0.016,-,-,86.400
'34:29:53.944',-0.024,-,-,83.200
'34:29:53.952',-0.024,-,-,80.000
'34:29:53.960',-0.032,-,-,76.800
'34:29:53.968',-0.040,-,-,74.400
'34:29:53.976',-0.048,-,-,71.200
'34:29:53.984',-0.048,-,-,69.600
'34:29:53.992',-0.048,-,-,67.200
'34:29:54.000',-0.048,-,-,65.600
'34:29:54.008',-0.040,-,-,64.000
'34:29:54.016',-0.040,-,-,63.200
'34:29:54.024',-0.032,-,-,62.400
'34:29:54.032',-0.032,-,-,62.400
'34:29:54.040',-0.032,-,-,62.400
'34:29:54.048',-0.032,-,-,62.400
'34:29:54.056',-0.032,-,-,62.400
'34:29:54.064',-0.032,-,-,62.400
'34:29:54.072',-0.040,-,-,63.200
'34:29:54.080',-0.040,-,-,63.200
'34:29:54.088',-0.040,-,-,64.000
'34:29:54.096',-0.040,-,-,64.000
'34:29:54.104',-0.040,-,-,64.000
'34:29:54.112',-0.048,-,-,64.000
'34:29:54.120',-0.048,-,-,64.000
'34:29:54.128',-0.056,-,-,64.000
'34:29:54.136',-0.064,-,-,64.000
'34:29:54.144',-0.072,-,-,63.200
'34:29:54.152',-0.072,-,-,63.200
'34:29:54.160',-0.072,-,-,62.400
'34:29:54.168',-0.064,-,-,62.400
'34:29:54.176',-0.056,-,-,61.600
'34:29:54.184',-0.056,-,-,60.800
'34:29:54.192',-0.056,-,-,60.800
'34:29:54.200',-0.056,-,-,60.000
'34:29:54.208',-0.056,-,-,59.200
'34:29:54.216',-0.056,-,-,59.200
'34:29:54.224',-0.056,-,-,58.400
'34:29:54.232',-0.048,-,-,58.400
'34:29:54.240',-0.048,-,-,57.600
'34:29:54.248',-0.048,-,-,56.800
'34:29:54.256',-0.048,-,-,56.800
