'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:04:12.432',-0.042,-,-,0.028,77.600
'14:04:12.440',-0.042,-,-,0.028,76.800
'14:04:12.448',-0.056,-,-,0.028,76.000
'14:04:12.456',-0.056,-,-,0.028,75.200
'14:04:12.464',-0.056,-,-,0.014,74.400
'14:04:12.472',-0.069,-,-,0.014,74.400
'14:04:12.480',-0.083,-,-,0.085,73.600
'14:04:12.488',-0.097,-,-,-0.014,72.800
'14:04:12.496',-0.069,-,-,0.000,72.000
'14:04:12.504',-0.069,-,-,0.000,72.000
'14:04:12.512',-0.069,-,-,0.000,71.200
'14:04:12.520',-0.069,-,-,0.000,71.200
'14:04:12.528',-0.069,-,-,0.000,70.400
'14:04:12.536',-0.069,-,-,0.000,70.400
'14:04:12.544',-0.069,-,-,0.000,69.600
'14:04:12.552',-0.069,-,-,0.000,69.600
'14:04:12.560',-0.056,-,-,0.000,69.600
'14:04:12.568',-0.056,-,-,0.000,68.800
'14:04:12.576',-0.042,-,-,0.000,68.800
'14:04:12.584',-0.028,-,-,0.014,68.000
'14:04:12.592',-0.028,-,-,0.000,68.000
'14:04:12.600',-0.028,-,-,0.028,68.000
'14:04:12.608',-0.028,-,-,0.028,67.200
'14:04:12.616',-0.014,-,-,0.028,67.200
'14:04:12.624',-0.014,-,-,0.042,66.400
'14:04:12.632',-0.028,-,-,0.028,65.600
'14:04:12.640',-0.028,-,-,0.028,65.600
'14:04:12.648',-0.042,-,-,0.028,64.800
'14:04:12.656',-0.056,-,-,0.014,64.800
'14:04:12.664',-0.056,-,-,0.000,64.000
'14:04:12.672',-0.069,-,-,0.014,64.000
'14:04:12.680',-0.083,-,-,-0.014,63.200
'14:04:12.688',-0.083,-,-,0.000,63.200
'14:04:12.696',-0.056,-,-,-0.070,62.400
'14:04:12.704',-0.042,-,-,0.014,62.400
'14:04:12.712',-0.167,-,-,0.000,62.400
'14:04:12.720',-0.347,-,-,0.000,61.600
'14:04:12.728',-0.528,-,-,-0.141,61.600
'14:04:12.736',-0.736,-,-,-0.451,60.800
'14:04:12.744',-0.958,-,-,-0.803,60.800
'14:04:12.752',-1.181,-,-,-1.085,60.800
'14:04:12.760',-1.278,-,-,-1.296,60.000
'14:04:12.768',-1.167,-,-,-1.338,60.000
'14:04:12.776',-0.861,-,-,-1.085,60.000
