'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'1:13:30.760',-,-,-,-,-,-,-0.016,-0.016,50.400,-
'1:13:30.768',-,-,-,-,-,-,0.000,0.000,50.400,-
'1:13:30.776',-,-,-,-,-,-,0.040,0.000,50.400,-
'1:13:30.784',-,-,-,-,-,-,0.120,0.040,49.200,-
'1:13:30.792',-,-,-,-,-,-,0.208,0.160,49.200,-
'1:13:30.800',-,-,-,-,-,-,0.120,0.232,49.200,-
'1:13:30.808',-,-,-,-,-,-,-0.120,0.040,49.200,-
'1:13:30.816',-,-,-,-,-,-,-0.376,-0.272,48.000,-
'1:13:30.824',-,-,-,-,-,-,-0.464,-0.600,48.000,-
'1:13:30.832',-,-,-,-,-,-,-0.336,-0.440,48.000,-
'1:13:30.840',-,-,-,-,-,-,-0.232,-0.272,46.800,-
'1:13:30.848',-,-,-,-,-,-,-0.144,-0.184,46.800,-
'1:13:30.856',-,-,-,-,-,-,-0.104,-0.112,46.800,-
'1:13:30.864',-,-,-,-,-,-,-0.080,-0.040,46.800,-
'1:13:30.872',-,-,-,-,-,-,-0.056,-0.040,48.000,-
'1:13:30.880',-,-,-,-,-,-,-0.040,-0.016,49.200,-
'1:13:30.888',-,-,-,-,-,-,0.000,0.000,52.800,-
'1:13:30.896',-,-,-,-,-,-,0.000,0.000,57.600,-
'1:13:30.904',-,-,-,-,-,-,0.000,0.000,64.800,-
'1:13:30.912',-,-,-,-,-,-,0.000,0.000,72.000,-
'1:13:30.920',-,-,-,-,-,-,0.000,0.000,78.000,-
'1:13:30.928',-,-,-,-,-,-,0.016,0.000,81.600,-
'1:13:30.936',-,-,-,-,-,-,0.040,0.016,84.000,-
'1:13:30.944',-,-,-,-,-,-,0.056,0.040,86.400,-
'1:13:30.952',-,-,-,-,-,-,0.080,0.088,88.800,-
'1:13:30.960',-,-,-,-,-,-,0.080,0.088,90.000,-
'1:13:30.968',-,-,-,-,-,-,0.056,0.088,91.200,-
'1:13:30.976',-,-,-,-,-,-,0.080,0.064,91.200,-
'1:13:30.984',-,-,-,-,-,-,0.104,0.088,90.000,-
'1:13:30.992',-,-,-,-,-,-,0.144,0.112,91.200,-
'1:13:31.000',-,-,-,-,-,-,0.208,0.184,91.200,-
'1:13:31.008',-,-,-,-,-,-,0.248,0.232,91.200,-
'1:13:31.016',-,-,-,-,-,-,0.296,0.272,90.000,-
'1:13:31.024',-,-,-,-,-,-,0.376,0.320,88.800,-
'1:13:31.032',-,-,-,-,-,-,0.440,0.416,88.800,-
'1:13:31.040',-,-,-,-,-,-,0.504,0.488,87.600,-
'1:13:31.048',-,-,-,-,-,-,0.528,0.488,86.400,-
'1:13:31.056',-,-,-,-,-,-,0.568,0.552,86.400,-
'1:13:31.064',-,-,-,-,-,-,0.568,0.576,85.200,-
'1:13:31.072',-,-,-,-,-,-,0.552,0.576,84.000,-
'1:13:31.080',-,-,-,-,-,-,0.504,0.528,81.600,-
'1:13:31.088',-,-,-,-,-,-,0.424,0.440,80.400,-
'1:13:31.096',-,-,-,-,-,-,0.360,0.344,78.000,-
'1:13:31.104',-,-,-,-,-,-,0.296,0.296,75.600,-
'1:13:31.112',-,-,-,-,-,-,0.208,0.232,73.200,-
'1:13:31.120',-,-,-,-,-,-,0.168,0.184,70.800,-
'1:13:31.128',-,-,-,-,-,-,0.144,0.136,69.600,-
'1:13:31.136',-,-,-,-,-,-,0.120,0.112,68.400,-
'1:13:31.144',-,-,-,-,-,-,0.104,0.088,67.200,-
'1:13:31.152',-,-,-,-,-,-,0.080,0.088,67.200,-
'1:13:31.160',-,-,-,-,-,-,0.080,0.040,66.000,-
'1:13:31.168',-,-,-,-,-,-,0.080,0.040,66.000,-
'1:13:31.176',-,-,-,-,-,-,0.056,0.064,66.000,-
'1:13:31.184',-,-,-,-,-,-,0.040,0.016,64.800,-
'1:13:31.192',-,-,-,-,-,-,0.040,0.000,64.800,-
'1:13:31.200',-,-,-,-,-,-,0.040,0.016,64.800,-
'1:13:31.208',-,-,-,-,-,-,0.040,0.000,63.600,-
'1:13:31.216',-,-,-,-,-,-,0.056,0.040,63.600,-
