'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:03:00.432',-0.125,-,-,0.000,68.800
'14:03:00.440',-0.139,-,-,0.000,68.000
'14:03:00.448',-0.139,-,-,0.000,68.000
'14:03:00.456',-0.139,-,-,0.000,67.200
'14:03:00.464',-0.139,-,-,-0.014,67.200
'14:03:00.472',-0.139,-,-,-0.014,67.200
'14:03:00.480',-0.139,-,-,-0.028,68.800
'14:03:00.488',-0.125,-,-,-0.028,72.000
'14:03:00.496',-0.139,-,-,-0.042,76.800
'14:03:00.504',-0.153,-,-,-0.056,84.000
'14:03:00.512',-0.167,-,-,-0.056,92.000
'14:03:00.520',-0.153,-,-,-0.070,100.800
'14:03:00.528',-0.167,-,-,-0.085,107.200
'14:03:00.536',-0.181,-,-,-0.113,111.200
'14:03:00.544',-0.194,-,-,-0.113,112.000
'14:03:00.552',-0.181,-,-,-0.141,112.000
'14:03:00.560',-0.167,-,-,-0.127,109.600
'14:03:00.568',-0.139,-,-,-0.141,108.000
'14:03:00.576',-0.097,-,-,-0.113,105.600
'14:03:00.584',-0.097,-,-,-0.113,103.200
'14:03:00.592',-0.083,-,-,-0.113,101.600
'14:03:00.600',-0.056,-,-,-0.070,100.000
'14:03:00.608',-0.042,-,-,-0.028,98.400
'14:03:00.616',-0.028,-,-,-0.028,96.800
'14:03:00.624',-0.028,-,-,-0.028,95.200
'14:03:00.632',-0.014,-,-,-0.014,92.800
'14:03:00.640',0.000,-,-,0.000,90.400
'14:03:00.648',0.014,-,-,0.000,88.000
'14:03:00.656',0.028,-,-,0.028,84.800
'14:03:00.664',0.042,-,-,0.042,81.600
'14:03:00.672',0.056,-,-,0.056,79.200
'14:03:00.680',0.056,-,-,0.070,77.600
'14:03:00.688',0.069,-,-,0.085,76.800
'14:03:00.696',0.083,-,-,0.113,76.800
'14:03:00.704',0.083,-,-,0.085,76.800
'14:03:00.712',0.083,-,-,0.113,77.600
'14:03:00.720',0.083,-,-,0.085,77.600
'14:03:00.728',0.083,-,-,0.113,77.600
'14:03:00.736',0.083,-,-,0.085,77.600
'14:03:00.744',0.083,-,-,0.085,77.600
'14:03:00.752',0.069,-,-,0.085,76.800
'14:03:00.760',0.069,-,-,0.085,76.800
'14:03:00.768',0.083,-,-,0.085,76.000
'14:03:00.776',0.083,-,-,0.085,75.200
'14:03:00.784',0.083,-,-,0.085,75.200
'14:03:00.792',0.083,-,-,0.113,74.400
'14:03:00.800',0.083,-,-,0.085,74.400
'14:03:00.808',0.083,-,-,0.085,73.600
'14:03:00.816',0.069,-,-,0.085,73.600
'14:03:00.824',0.069,-,-,0.085,72.800
'14:03:00.832',0.056,-,-,0.056,72.800
'14:03:00.840',0.042,-,-,0.056,72.000
'14:03:00.848',0.042,-,-,0.056,71.200
'14:03:00.856',0.042,-,-,0.056,71.200
'14:03:00.864',0.042,-,-,0.056,70.400
'14:03:00.872',0.042,-,-,0.056,70.400
'14:03:00.880',0.056,-,-,0.056,69.600
'14:03:00.888',0.056,-,-,0.070,68.800
'14:03:00.896',0.056,-,-,0.056,68.000
'14:03:00.904',0.056,-,-,0.056,68.000
'14:03:00.912',0.042,-,-,0.056,67.200
'14:03:00.920',0.042,-,-,0.042,67.200
'14:03:00.928',0.042,-,-,0.056,66.400
'14:03:00.936',0.028,-,-,0.056,66.400
'14:03:00.944',0.042,-,-,0.000,65.600
'14:03:00.952',0.056,-,-,0.085,65.600
'14:03:00.960',-0.014,-,-,0.070,65.600
'14:03:00.968',-0.139,-,-,0.056,64.800
'14:03:00.976',-0.319,-,-,0.000,64.800
'14:03:00.984',-0.542,-,-,-0.197,64.800
'14:03:00.992',-0.806,-,-,-0.535,64.800
'14:03:01.000',-1.042,-,-,-0.901,64.000
'14:03:01.008',-1.208,-,-,-1.169,64.000
'14:03:01.016',-1.236,-,-,-1.268,64.000
'14:03:01.024',-0.931,-,-,-1.141,63.200
'14:03:01.032',-0.597,-,-,-0.845,63.200
'14:03:01.040',-0.278,-,-,-0.423,63.200
'14:03:01.048',-0.069,-,-,-0.197,62.400
'14:03:01.056',0.069,-,-,-0.014,62.400
'14:03:01.064',0.181,-,-,0.127,61.600
'14:03:01.072',0.250,-,-,0.197,61.600
'14:03:01.080',0.278,-,-,0.225,61.600
'14:03:01.088',0.292,-,-,0.225,60.800
'14:03:01.096',0.292,-,-,0.197,60.800
'14:03:01.104',0.306,-,-,0.225,60.800
'14:03:01.112',0.319,-,-,0.197,60.000
'14:03:01.120',0.319,-,-,0.197,60.800
'14:03:01.128',0.347,-,-,0.197,62.400
'14:03:01.136',0.361,-,-,0.225,66.400
'14:03:01.144',0.389,-,-,0.225,72.800
'14:03:01.152',0.417,-,-,0.225,82.400
'14:03:01.160',0.472,-,-,0.239,92.800
'14:03:01.168',0.500,-,-,0.239,103.200
'14:03:01.176',0.514,-,-,0.254,111.200
'14:03:01.184',0.542,-,-,0.268,116.800
'14:03:01.192',0.569,-,-,0.268,119.200
'14:03:01.200',0.583,-,-,0.296,119.200
'14:03:01.208',0.597,-,-,0.296,117.600
'14:03:01.216',0.611,-,-,0.296,116.000
'14:03:01.224',0.611,-,-,0.310,113.600
'14:03:01.232',0.597,-,-,0.338,111.200
'14:03:01.240',0.583,-,-,0.310,109.600
'14:03:01.248',0.528,-,-,0.338,108.000
'14:03:01.256',0.486,-,-,0.296,107.200
'14:03:01.264',0.431,-,-,0.268,105.600
'14:03:01.272',0.389,-,-,0.225,104.000
'14:03:01.280',0.319,-,-,0.183,101.600
'14:03:01.288',0.278,-,-,0.155,99.200
'14:03:01.296',0.236,-,-,0.127,96.800
'14:03:01.304',0.181,-,-,0.113,94.400
'14:03:01.312',0.153,-,-,0.085,92.000
'14:03:01.320',0.125,-,-,0.085,88.800
'14:03:01.328',0.097,-,-,0.056,85.600
'14:03:01.336',0.097,-,-,0.056,83.200
'14:03:01.344',0.097,-,-,0.070,80.800
'14:03:01.352',0.083,-,-,0.085,80.000
'14:03:01.360',0.083,-,-,0.056,79.200
'14:03:01.368',0.083,-,-,0.085,80.000
'14:03:01.376',0.083,-,-,0.070,80.000
'14:03:01.384',0.083,-,-,0.056,80.800
'14:03:01.392',0.083,-,-,0.070,81.600
'14:03:01.400',0.083,-,-,0.070,81.600
'14:03:01.408',0.083,-,-,0.085,81.600
'14:03:01.416',0.069,-,-,0.056,80.800
'14:03:01.424',0.069,-,-,0.070,80.000
'14:03:01.432',0.056,-,-,0.056,79.200
'14:03:01.440',0.042,-,-,0.056,78.400
'14:03:01.448',0.042,-,-,0.056,77.600
'14:03:01.456',0.028,-,-,0.056,76.800
'14:03:01.464',0.028,-,-,0.056,76.000
'14:03:01.472',0.014,-,-,0.028,75.200
'14:03:01.480',0.000,-,-,0.028,75.200
'14:03:01.488',-0.014,-,-,0.014,74.400
'14:03:01.496',0.000,-,-,0.014,73.600
'14:03:01.504',0.000,-,-,0.028,72.800
'14:03:01.512',0.000,-,-,0.014,72.800
'14:03:01.520',0.000,-,-,0.000,72.000
'14:03:01.528',0.000,-,-,0.014,72.000
'14:03:01.536',0.014,-,-,0.028,71.200
'14:03:01.544',0.014,-,-,0.028,70.400
'14:03:01.552',0.000,-,-,0.028,70.400
'14:03:01.560',-0.014,-,-,0.042,69.600
'14:03:01.568',-0.028,-,-,-0.056,69.600
'14:03:01.576',0.014,-,-,0.042,68.800
'14:03:01.584',0.014,-,-,0.028,68.800
'14:03:01.592',-0.167,-,-,0.042,68.000
'14:03:01.600',-0.236,-,-,0.028,68.000
'14:03:01.608',-0.250,-,-,0.070,67.200
'14:03:01.616',-0.236,-,-,-0.127,67.200
'14:03:01.624',-0.361,-,-,-0.606,67.200
'14:03:01.632',-0.403,-,-,-0.704,66.400
'14:03:01.640',-0.292,-,-,-0.479,66.400
'14:03:01.648',-0.153,-,-,-0.254,66.400
'14:03:01.656',-0.042,-,-,-0.042,65.600
'14:03:01.664',-0.014,-,-,0.014,65.600
'14:03:01.672',0.000,-,-,0.028,65.600
'14:03:01.680',0.000,-,-,0.000,64.800
'14:03:01.688',0.000,-,-,0.000,64.800
'14:03:01.696',0.000,-,-,0.000,64.000
'14:03:01.704',0.000,-,-,0.000,64.000
'14:03:01.712',0.000,-,-,-0.014,63.200
'14:03:01.720',0.000,-,-,0.000,64.000
'14:03:01.728',0.000,-,-,-0.028,65.600
