'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:35:26.152',-0.064,-,-,56.000
'34:35:26.160',-0.064,-,-,55.200
'34:35:26.168',-0.064,-,-,54.400
'34:35:26.176',-0.064,-,-,54.400
'34:35:26.184',-0.064,-,-,53.600
'34:35:26.192',-0.056,-,-,52.800
'34:35:26.200',-0.056,-,-,52.800
'34:35:26.208',-0.056,-,-,52.000
'34:35:26.216',-0.056,-,-,52.000
'34:35:26.224',-0.048,-,-,51.200
'34:35:26.232',-0.040,-,-,51.200
'34:35:26.240',-0.040,-,-,50.400
'34:35:26.248',-0.040,-,-,50.400
'34:35:26.256',-0.032,-,-,50.400
'34:35:26.264',-0.024,-,-,49.600
'34:35:26.272',-0.032,-,-,49.600
'34:35:26.280',-0.032,-,-,49.600
'34:35:26.288',-0.016,-,-,49.600
'34:35:26.296',0.048,-,-,48.800
'34:35:26.304',0.184,-,-,48.800
'34:35:26.312',0.328,-,-,48.800
'34:35:26.320',0.416,-,-,48.800
'34:35:26.328',0.448,-,-,48.800
'34:35:26.336',0.408,-,-,48.800
'34:35:26.344',0.304,-,-,48.800
'34:35:26.352',0.144,-,-,48.800
'34:35:26.360',0.008,-,-,48.000
'34:35:26.368',-0.056,-,-,48.000
'34:35:26.376',-0.072,-,-,48.000
'34:35:26.384',-0.064,-,-,48.000
'34:35:26.392',-0.048,-,-,48.000
'34:35:26.400',-0.048,-,-,47.200
'34:35:26.408',-0.040,-,-,47.200
'34:35:26.416',-0.032,-,-,47.200
'34:35:26.424',-0.032,-,-,47.200
'34:35:26.432',-0.024,-,-,47.200
'34:35:26.440',-0.024,-,-,46.400
'34:35:26.448',-0.024,-,-,46.400
'34:35:26.456',-0.024,-,-,46.400
'34:35:26.464',-0.024,-,-,47.200
'34:35:26.472',-0.024,-,-,47.200
'34:35:26.480',-0.024,-,-,48.800
'34:35:26.488',-0.024,-,-,50.400
'34:35:26.496',-0.024,-,-,52.800
'34:35:26.504',-0.016,-,-,56.800
'34:35:26.512',-0.008,-,-,60.800
'34:35:26.520',0.000,-,-,64.800
'34:35:26.528',0.008,-,-,69.600
'34:35:26.536',0.016,-,-,74.400
'34:35:26.544',0.024,-,-,80.000
'34:35:26.552',0.040,-,-,84.800
'34:35:26.560',0.056,-,-,88.800
'34:35:26.568',0.064,-,-,92.800
'34:35:26.576',0.064,-,-,96.000
'34:35:26.584',0.064,-,-,99.200
'34:35:26.592',0.064,-,-,100.800
'34:35:26.600',0.064,-,-,102.400
'34:35:26.608',0.064,-,-,103.200
'34:35:26.616',0.056,-,-,104.000
'34:35:26.624',0.040,-,-,103.200
'34:35:26.632',0.024,-,-,103.200
'34:35:26.640',0.000,-,-,101.600
'34:35:26.648',-0.008,-,-,100.800
'34:35:26.656',-0.024,-,-,99.200
'34:35:26.664',-0.040,-,-,97.600
'34:35:26.672',-0.048,-,-,95.200
'34:35:26.680',-0.048,-,-,93.600
'34:35:26.688',-0.048,-,-,91.200
'34:35:26.696',-0.048,-,-,88.000
'34:35:26.704',-0.048,-,-,85.600
'34:35:26.712',-0.040,-,-,82.400
'34:35:26.720',-0.040,-,-,79.200
'34:35:26.728',-0.040,-,-,76.000
'34:35:26.736',-0.032,-,-,73.600
'34:35:26.744',-0.024,-,-,70.400
'34:35:26.752',-0.024,-,-,68.800
'34:35:26.760',-0.024,-,-,66.400
'34:35:26.768',-0.024,-,-,64.800
'34:35:26.776',-0.024,-,-,63.200
'34:35:26.784',-0.032,-,-,62.400
'34:35:26.792',-0.040,-,-,61.600
'34:35:26.800',-0.040,-,-,61.600
'34:35:26.808',-0.048,-,-,60.800
'34:35:26.816',-0.056,-,-,60.800
'34:35:26.824',-0.056,-,-,60.800
'34:35:26.832',-0.064,-,-,61.600
'34:35:26.840',-0.064,-,-,61.600
'34:35:26.848',-0.072,-,-,62.400
'34:35:26.856',-0.072,-,-,62.400
'34:35:26.864',-0.072,-,-,62.400
'34:35:26.872',-0.072,-,-,62.400
'34:35:26.880',-0.064,-,-,62.400
'34:35:26.888',-0.064,-,-,62.400
'34:35:26.896',-0.064,-,-,62.400
'34:35:26.904',-0.064,-,-,62.400
'34:35:26.912',-0.064,-,-,61.600
'34:35:26.920',-0.064,-,-,61.600
'34:35:26.928',-0.064,-,-,60.800
'34:35:26.936',-0.064,-,-,60.800
'34:35:26.944',-0.064,-,-,60.000
'34:35:26.952',-0.072,-,-,60.000
'34:35:26.960',-0.080,-,-,59.200
'34:35:26.968',-0.080,-,-,59.200
'34:35:26.976',-0.080,-,-,58.400
'34:35:26.984',-0.080,-,-,58.400
'34:35:26.992',-0.072,-,-,57.600
'34:35:27.000',-0.064,-,-,56.800
'34:35:27.008',-0.064,-,-,56.800
'34:35:27.016',-0.056,-,-,56.000
'34:35:27.024',-0.056,-,-,56.000
'34:35:27.032',-0.048,-,-,55.200
'34:35:27.040',-0.048,-,-,55.200
'34:35:27.048',-0.048,-,-,54.400
'34:35:27.056',-0.048,-,-,54.400
'34:35:27.064',-0.048,-,-,53.600
'34:35:27.072',-0.048,-,-,53.600
'34:35:27.080',-0.048,-,-,52.800
'34:35:27.088',-0.048,-,-,52.800
'34:35:27.096',-0.016,-,-,52.800
'34:35:27.104',0.080,-,-,52.000
'34:35:27.112',0.232,-,-,52.000
'34:35:27.120',0.360,-,-,52.000
'34:35:27.128',0.408,-,-,51.200
'34:35:27.136',0.392,-,-,51.200
'34:35:27.144',0.328,-,-,51.200
'34:35:27.152',0.208,-,-,51.200
'34:35:27.160',0.064,-,-,50.400
'34:35:27.168',-0.040,-,-,50.400
'34:35:27.176',-0.072,-,-,50.400
'34:35:27.184',-0.080,-,-,50.400
'34:35:27.192',-0.064,-,-,49.600
'34:35:27.200',-0.048,-,-,49.600
'34:35:27.208',-0.048,-,-,49.600
'34:35:27.216',-0.048,-,-,49.600
'34:35:27.224',-0.040,-,-,48.800
'34:35:27.232',-0.040,-,-,48.800
'34:35:27.240',-0.040,-,-,48.800
'34:35:27.248',-0.040,-,-,48.800
'34:35:27.256',-0.040,-,-,48.800
'34:35:27.264',-0.032,-,-,48.800
'34:35:27.272',-0.024,-,-,48.800
'34:35:27.280',-0.024,-,-,48.800
'34:35:27.288',-0.024,-,-,49.600
'34:35:27.296',-0.024,-,-,51.200
'34:35:27.304',-0.016,-,-,53.600
'34:35:27.312',-0.008,-,-,56.000
'34:35:27.320',0.000,-,-,60.000
'34:35:27.328',0.008,-,-,63.200
'34:35:27.336',0.016,-,-,68.000
'34:35:27.344',0.032,-,-,72.800
'34:35:27.352',0.040,-,-,76.800
'34:35:27.360',0.056,-,-,81.600
'34:35:27.368',0.064,-,-,86.400
'34:35:27.376',0.064,-,-,90.400
'34:35:27.384',0.064,-,-,93.600
'34:35:27.392',0.064,-,-,96.000
'34:35:27.400',0.064,-,-,98.400
'34:35:27.408',0.056,-,-,100.000
'34:35:27.416',0.056,-,-,101.600
'34:35:27.424',0.056,-,-,101.600
'34:35:27.432',0.040,-,-,101.600
'34:35:27.440',0.024,-,-,100.800
'34:35:27.448',0.008,-,-,100.000
'34:35:27.456',-0.008,-,-,99.200
'34:35:27.464',-0.024,-,-,97.600
'34:35:27.472',-0.040,-,-,96.000
'34:35:27.480',-0.056,-,-,94.400
'34:35:27.488',-0.064,-,-,92.000
'34:35:27.496',-0.072,-,-,89.600
'34:35:27.504',-0.072,-,-,87.200
'34:35:27.512',-0.072,-,-,84.000
'34:35:27.520',-0.072,-,-,81.600
'34:35:27.528',-0.072,-,-,78.400
'34:35:27.536',-0.072,-,-,75.200
'34:35:27.544',-0.072,-,-,72.800
'34:35:27.552',-0.072,-,-,69.600
'34:35:27.560',-0.056,-,-,67.200
'34:35:27.568',-0.056,-,-,65.600
'34:35:27.576',-0.048,-,-,63.200
'34:35:27.584',-0.048,-,-,61.600
'34:35:27.592',-0.056,-,-,60.800
'34:35:27.600',-0.056,-,-,60.000
'34:35:27.608',-0.056,-,-,59.200
'34:35:27.616',-0.056,-,-,59.200
'34:35:27.624',-0.064,-,-,59.200
'34:35:27.632',-0.072,-,-,59.200
'34:35:27.640',-0.072,-,-,59.200
'34:35:27.648',-0.072,-,-,59.200
'34:35:27.656',-0.072,-,-,60.000
'34:35:27.664',-0.072,-,-,60.000
'34:35:27.672',-0.080,-,-,60.000
'34:35:27.680',-0.080,-,-,60.000
'34:35:27.688',-0.080,-,-,60.800
'34:35:27.696',-0.080,-,-,60.800
'34:35:27.704',-0.080,-,-,60.800
'34:35:27.712',-0.080,-,-,60.000
'34:35:27.720',-0.072,-,-,60.000
'34:35:27.728',-0.072,-,-,60.000
'34:35:27.736',-0.072,-,-,59.200
'34:35:27.744',-0.064,-,-,59.200
'34:35:27.752',-0.064,-,-,58.400
'34:35:27.760',-0.072,-,-,58.400
'34:35:27.768',-0.080,-,-,57.600
'34:35:27.776',-0.056,-,-,56.800
'34:35:27.784',0.016,-,-,56.800
'34:35:27.792',0.168,-,-,56.000
'34:35:27.800',0.336,-,-,55.200
'34:35:27.808',0.408,-,-,55.200
'34:35:27.816',0.376,-,-,54.400
'34:35:27.824',0.296,-,-,53.600
'34:35:27.832',0.192,-,-,53.600
'34:35:27.840',0.056,-,-,52.800
'34:35:27.848',-0.056,-,-,52.000
'34:35:27.856',-0.112,-,-,52.000
'34:35:27.864',-0.120,-,-,51.200
'34:35:27.872',-0.104,-,-,51.200
'34:35:27.880',-0.080,-,-,51.200
'34:35:27.888',-0.072,-,-,50.400
'34:35:27.896',-0.072,-,-,50.400
'34:35:27.904',-0.056,-,-,49.600
'34:35:27.912',-0.056,-,-,49.600
'34:35:27.920',-0.048,-,-,49.600
'34:35:27.928',-0.040,-,-,49.600
'34:35:27.936',-0.040,-,-,49.600
'34:35:27.944',-0.032,-,-,49.600
'34:35:27.952',-0.024,-,-,49.600
'34:35:27.960',-0.024,-,-,49.600
'34:35:27.968',-0.016,-,-,49.600
'34:35:27.976',-0.008,-,-,49.600
'34:35:27.984',0.000,-,-,50.400
'34:35:27.992',0.000,-,-,51.200
'34:35:28.000',0.008,-,-,52.800
'34:35:28.008',0.016,-,-,54.400
'34:35:28.016',0.024,-,-,57.600
'34:35:28.024',0.032,-,-,60.800
'34:35:28.032',0.040,-,-,64.000
'34:35:28.040',0.040,-,-,68.000
'34:35:28.048',0.048,-,-,72.000
'34:35:28.056',0.048,-,-,76.000
'34:35:28.064',0.056,-,-,80.000
'34:35:28.072',0.056,-,-,84.000
'34:35:28.080',0.064,-,-,87.200
'34:35:28.088',0.064,-,-,90.400
'34:35:28.096',0.056,-,-,92.000
'34:35:28.104',0.040,-,-,93.600
'34:35:28.112',0.024,-,-,95.200
'34:35:28.120',0.000,-,-,95.200
'34:35:28.128',-0.016,-,-,95.200
'34:35:28.136',-0.032,-,-,94.400
'34:35:28.144',-0.048,-,-,93.600
'34:35:28.152',-0.064,-,-,92.800
'34:35:28.160',-0.072,-,-,91.200
'34:35:28.168',-0.072,-,-,88.800
'34:35:28.176',-0.080,-,-,87.200
'34:35:28.184',-0.080,-,-,84.800
'34:35:28.192',-0.080,-,-,81.600
'34:35:28.200',-0.080,-,-,79.200
'34:35:28.208',-0.072,-,-,76.000
'34:35:28.216',-0.072,-,-,72.800
'34:35:28.224',-0.064,-,-,70.400
'34:35:28.232',-0.056,-,-,67.200
'34:35:28.240',-0.056,-,-,64.800
'34:35:28.248',-0.048,-,-,63.200
'34:35:28.256',-0.048,-,-,60.800
'34:35:28.264',-0.048,-,-,60.000
'34:35:28.272',-0.048,-,-,58.400
'34:35:28.280',-0.056,-,-,57.600
'34:35:28.288',-0.064,-,-,56.800
'34:35:28.296',-0.064,-,-,56.800
'34:35:28.304',-0.064,-,-,56.800
'34:35:28.312',-0.072,-,-,57.600
