'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'35:03:14.576',-,0.000,-,-,0.072,-,92.160,-
'35:03:14.584',-,0.000,-,-,0.072,-,93.120,-
'35:03:14.592',-,0.064,-,-,0.048,-,95.520,-
'35:03:14.600',-,0.064,-,-,0.064,-,96.960,-
'35:03:14.608',-,0.096,-,-,0.032,-,96.960,-
'35:03:14.616',-,0.136,-,-,0.008,-,97.920,-
'35:03:14.624',-,0.136,-,-,0.000,-,96.960,-
'35:03:14.632',-,0.136,-,-,-0.016,-,96.960,-
'35:03:14.640',-,0.168,-,-,-0.016,-,95.520,-
'35:03:14.648',-,0.136,-,-,-0.016,-,94.560,-
'35:03:14.656',-,0.200,-,-,-0.032,-,92.160,-
'35:03:14.664',-,0.200,-,-,-0.024,-,90.720,-
'35:03:14.672',-,0.240,-,-,-0.080,-,88.320,-
'35:03:14.680',-,0.240,-,-,-0.112,-,85.920,-
'35:03:14.688',-,0.240,-,-,-0.144,-,82.560,-
'35:03:14.696',-,0.272,-,-,-0.128,-,80.160,-
'35:03:14.704',-,0.200,-,-,-0.112,-,77.760,-
'35:03:14.712',-,0.136,-,-,-0.096,-,75.360,-
'35:03:14.720',-,0.096,-,-,-0.072,-,72.960,-
'35:03:14.728',-,0.000,-,-,-0.040,-,71.520,-
'35:03:14.736',-,0.000,-,-,-0.016,-,70.560,-
'35:03:14.744',-,-0.032,-,-,-0.016,-,70.560,-
'35:03:14.752',-,-0.032,-,-,-0.008,-,70.560,-
'35:03:14.760',-,-0.032,-,-,-0.016,-,70.560,-
'35:03:14.768',-,-0.064,-,-,-0.008,-,70.560,-
'35:03:14.776',-,-0.032,-,-,-0.008,-,70.560,-
'35:03:14.784',-,-0.064,-,-,0.000,-,70.560,-
'35:03:14.792',-,-0.032,-,-,-0.008,-,70.560,-
'35:03:14.800',-,-0.064,-,-,0.000,-,70.560,-
'35:03:14.808',-,-0.032,-,-,-0.008,-,70.560,-
'35:03:14.816',-,-0.064,-,-,0.000,-,70.560,-
'35:03:14.824',-,-0.032,-,-,0.000,-,70.560,-
'35:03:14.832',-,-0.064,-,-,0.000,-,69.120,-
'35:03:14.840',-,-0.032,-,-,0.000,-,69.120,-
'35:03:14.848',-,-0.064,-,-,0.000,-,69.120,-
'35:03:14.856',-,0.000,-,-,0.000,-,69.120,-
'35:03:14.864',-,0.000,-,-,0.000,-,69.120,-
'35:03:14.872',-,0.136,-,-,-0.064,-,68.160,-
'35:03:14.880',-,0.168,-,-,-0.064,-,68.160,-
'35:03:14.888',-,0.136,-,-,-0.064,-,68.160,-
'35:03:14.896',-,0.136,-,-,-0.152,-,66.720,-
'35:03:14.904',-,0.136,-,-,-0.176,-,66.720,-
'35:03:14.912',-,0.168,-,-,-0.144,-,65.760,-
'35:03:14.920',-,0.168,-,-,-0.152,-,65.760,-
'35:03:14.928',-,0.064,-,-,-0.144,-,65.760,-
'35:03:14.936',-,-0.064,-,-,-0.112,-,64.320,-
'35:03:14.944',-,-0.240,-,-,-0.064,-,64.320,-
'35:03:14.952',-,-0.448,-,-,-0.016,-,64.320,-
'35:03:14.960',-,-0.544,-,-,0.032,-,63.360,-
