'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'16:51.192',0.000,-,-,-,-,44.000,33.720
'16:51.200',-0.009,-,-,-,-,44.800,31.680
'16:51.208',0.000,-,-,-,-,45.600,29.160
'16:51.216',0.000,-,-,-,-,46.400,27.360
'16:51.224',-0.009,-,-,-,-,46.400,26.520
'16:51.232',0.000,-,-,-,-,47.200,26.520
'16:51.240',0.000,-,-,-,-,47.200,27.120
'16:51.248',0.000,-,-,-,-,47.200,27.480
'16:51.256',0.000,-,-,-,-,47.200,27.360
'16:51.264',0.000,-,-,-,-,46.400,26.520
'16:51.272',0.000,-,-,-,-,46.400,25.080
'16:51.280',0.000,-,-,-,-,44.800,23.160
'16:51.288',0.000,-,-,-,-,44.000,21.120
'16:51.296',0.009,-,-,-,-,44.000,20.520
'16:51.304',0.009,-,-,-,-,44.000,20.880
'16:51.312',0.009,-,-,-,-,44.800,22.560
'16:51.320',0.009,-,-,-,-,45.600,24.720
'16:51.328',0.009,-,-,-,-,46.400,26.880
'16:51.336',0.009,-,-,-,-,48.000,28.320
'16:51.344',0.035,-,-,-,-,48.800,28.920
'16:51.352',0.035,-,-,-,-,50.400,28.080
'16:51.360',0.017,-,-,-,-,52.800,26.880
'16:51.368',0.035,-,-,-,-,54.400,25.080
'16:51.376',0.035,-,-,-,-,56.000,23.280
'16:51.384',0.035,-,-,-,-,58.400,21.480
'16:51.392',0.009,-,-,-,-,60.000,21.480
'16:51.400',0.000,-,-,-,-,62.400,23.760
'16:51.408',-0.017,-,-,-,-,64.000,27.120
'16:51.416',-0.043,-,-,-,-,65.600,29.280
'16:51.424',-0.043,-,-,-,-,67.200,29.160
'16:51.432',-0.052,-,-,-,-,68.000,26.880
'16:51.440',-0.052,-,-,-,-,68.800,24.480
'16:51.448',-0.070,-,-,-,-,68.000,23.160
'16:51.456',-0.070,-,-,-,-,67.200,23.160
'16:51.464',-0.052,-,-,-,-,64.800,24.360
'16:51.472',-0.070,-,-,-,-,63.200,26.160
'16:51.480',-0.070,-,-,-,-,60.000,27.960
'16:51.488',-0.096,-,-,-,-,57.600,28.920
