'Elapsed time','I','II','III','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'38:12:21.832',0.010,-,-,0.000,74.280,14.000
'38:12:21.840',0.010,-,-,0.000,75.960,10.400
'38:12:21.848',0.019,-,-,0.000,79.080,10.800
'38:12:21.856',0.019,-,-,0.000,84.720,17.600
'38:12:21.864',0.029,-,-,-0.030,91.080,28.400
'38:12:21.872',0.029,-,-,0.000,97.560,40.000
'38:12:21.880',0.029,-,-,-0.030,103.920,47.600
'38:12:21.888',0.029,-,-,-0.030,108.720,48.800
'38:12:21.896',0.029,-,-,-0.030,112.680,44.000
'38:12:21.904',0.038,-,-,-0.030,114.360,37.600
'38:12:21.912',0.038,-,-,-0.030,115.920,33.200
'38:12:21.920',0.048,-,-,-0.069,115.920,31.200
'38:12:21.928',0.048,-,-,-0.069,115.920,32.000
'38:12:21.936',0.048,-,-,-0.030,115.080,35.200
'38:12:21.944',0.048,-,-,-0.069,115.080,38.400
'38:12:21.952',0.058,-,-,-0.030,115.920,40.800
'38:12:21.960',0.058,-,-,-0.069,118.320,41.200
'38:12:21.968',0.058,-,-,-0.069,121.560,39.600
'38:12:21.976',0.048,-,-,-0.030,125.520,37.200
'38:12:21.984',0.029,-,-,-0.030,128.760,35.200
'38:12:21.992',0.010,-,-,0.000,130.320,34.400
'38:12:22.000',-0.010,-,-,0.000,130.320,34.000
'38:12:22.008',-0.029,-,-,0.000,128.760,34.000
'38:12:22.016',-0.058,-,-,0.030,126.360,34.000
'38:12:22.024',-0.067,-,-,0.030,123.120,34.000
'38:12:22.032',-0.087,-,-,0.069,119.160,32.800
'38:12:22.040',-0.096,-,-,0.069,115.080,30.400
'38:12:22.048',-0.096,-,-,0.069,110.280,28.000
'38:12:22.056',-0.087,-,-,0.069,107.160,25.600
'38:12:22.064',-0.087,-,-,0.069,103.920,24.400
'38:12:22.072',-0.077,-,-,0.069,101.520,24.400
'38:12:22.080',-0.067,-,-,0.069,100.680,24.800
'38:12:22.088',-0.067,-,-,0.030,99.960,24.000
'38:12:22.096',-0.058,-,-,0.030,99.120,23.200
'38:12:22.104',-0.048,-,-,0.030,99.120,23.200
'38:12:22.112',-0.048,-,-,0.030,99.960,25.600
'38:12:22.120',-0.048,-,-,0.030,99.960,28.000
'38:12:22.128',-0.048,-,-,0.000,101.520,30.000
'38:12:22.136',-0.048,-,-,0.000,103.080,30.400
