'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:35:44.432',0.139,-,-,0.042,100.000
'14:35:44.440',0.125,-,-,0.056,99.200
'14:35:44.448',0.097,-,-,0.042,98.400
'14:35:44.456',0.083,-,-,0.056,97.600
'14:35:44.464',0.083,-,-,0.028,97.600
'14:35:44.472',0.083,-,-,0.014,96.800
'14:35:44.480',0.083,-,-,0.028,96.000
'14:35:44.488',0.069,-,-,0.042,96.000
'14:35:44.496',0.069,-,-,0.042,95.200
'14:35:44.504',0.069,-,-,0.028,94.400
'14:35:44.512',0.069,-,-,0.085,94.400
'14:35:44.520',0.069,-,-,0.042,93.600
'14:35:44.528',0.181,-,-,0.127,93.600
'14:35:44.536',0.403,-,-,0.296,92.800
'14:35:44.544',0.514,-,-,0.380,92.000
'14:35:44.552',0.403,-,-,0.127,91.200
'14:35:44.560',0.208,-,-,-0.056,91.200
'14:35:44.568',0.069,-,-,-0.113,90.400
'14:35:44.576',-0.014,-,-,-0.070,90.400
'14:35:44.584',-0.042,-,-,-0.113,89.600
'14:35:44.592',-0.028,-,-,-0.028,88.800
'14:35:44.600',-0.014,-,-,0.000,88.800
'14:35:44.608',0.000,-,-,-0.014,88.000
'14:35:44.616',0.000,-,-,0.000,88.000
'14:35:44.624',-0.014,-,-,0.000,87.200
'14:35:44.632',-0.028,-,-,0.000,87.200
'14:35:44.640',-0.042,-,-,-0.028,88.000
'14:35:44.648',-0.056,-,-,-0.056,90.400
'14:35:44.656',-0.056,-,-,0.000,96.000
'14:35:44.664',-0.056,-,-,-0.042,104.800
'14:35:44.672',-0.069,-,-,-0.070,116.000
'14:35:44.680',-0.069,-,-,-0.028,127.200
'14:35:44.688',-0.125,-,-,-0.113,136.800
'14:35:44.696',-0.153,-,-,-0.127,142.400
'14:35:44.704',-0.139,-,-,-0.085,145.600
'14:35:44.712',-0.139,-,-,-0.056,146.400
'14:35:44.720',-0.167,-,-,-0.141,146.400
'14:35:44.728',-0.194,-,-,-0.169,147.200
'14:35:44.736',-0.236,-,-,-0.197,148.000
'14:35:44.744',-0.236,-,-,-0.155,148.800
'14:35:44.752',-0.097,-,-,-0.225,149.600
'14:35:44.760',-0.056,-,-,-0.141,150.400
'14:35:44.768',-0.056,-,-,-0.113,150.400
'14:35:44.776',-0.056,-,-,-0.197,150.400
'14:35:44.784',-0.056,-,-,-0.113,150.400
'14:35:44.792',-0.042,-,-,-0.169,149.600
'14:35:44.800',-0.014,-,-,-0.070,148.800
'14:35:44.808',0.028,-,-,-0.127,148.000
'14:35:44.816',0.056,-,-,-0.042,145.600
'14:35:44.824',0.056,-,-,-0.070,144.000
'14:35:44.832',0.042,-,-,0.000,140.800
'14:35:44.840',0.056,-,-,-0.028,137.600
'14:35:44.848',0.056,-,-,0.042,133.600
'14:35:44.856',0.069,-,-,-0.014,130.400
'14:35:44.864',0.083,-,-,0.042,128.000
'14:35:44.872',0.083,-,-,0.056,128.000
'14:35:44.880',0.083,-,-,0.000,128.800
'14:35:44.888',0.083,-,-,0.085,129.600
'14:35:44.896',0.097,-,-,0.000,130.400
'14:35:44.904',0.125,-,-,0.085,129.600
'14:35:44.912',0.097,-,-,0.113,128.800
'14:35:44.920',0.097,-,-,0.028,127.200
'14:35:44.928',0.125,-,-,0.127,125.600
'14:35:44.936',0.139,-,-,-0.014,124.800
'14:35:44.944',0.153,-,-,-0.028,123.200
'14:35:44.952',0.153,-,-,0.070,122.400
'14:35:44.960',0.167,-,-,0.042,121.600
'14:35:44.968',0.181,-,-,0.070,120.800
'14:35:44.976',0.167,-,-,0.042,120.000
'14:35:44.984',0.153,-,-,0.113,119.200
'14:35:44.992',0.153,-,-,0.000,118.400
'14:35:45.000',0.153,-,-,0.113,117.600
'14:35:45.008',0.181,-,-,0.028,116.800
'14:35:45.016',0.167,-,-,0.056,116.000
'14:35:45.024',0.194,-,-,0.127,115.200
'14:35:45.032',0.375,-,-,0.056,114.400
'14:35:45.040',0.583,-,-,0.310,113.600
'14:35:45.048',0.625,-,-,0.366,112.800
'14:35:45.056',0.417,-,-,0.085,112.000
'14:35:45.064',0.236,-,-,0.014,111.200
'14:35:45.072',0.097,-,-,-0.113,110.400
'14:35:45.080',0.028,-,-,-0.127,109.600
'14:35:45.088',0.014,-,-,0.014,108.000
'14:35:45.096',0.028,-,-,-0.014,107.200
'14:35:45.104',0.028,-,-,0.042,106.400
'14:35:45.112',0.028,-,-,0.000,105.600
'14:35:45.120',0.028,-,-,0.028,104.800
'14:35:45.128',0.028,-,-,0.000,104.000
'14:35:45.136',0.028,-,-,-0.028,104.800
'14:35:45.144',0.000,-,-,0.000,106.400
'14:35:45.152',-0.014,-,-,0.028,109.600
'14:35:45.160',0.000,-,-,-0.014,116.000
'14:35:45.168',0.014,-,-,0.000,125.600
'14:35:45.176',0.000,-,-,0.000,134.400
'14:35:45.184',0.000,-,-,-0.056,142.400
'14:35:45.192',0.014,-,-,-0.014,146.400
'14:35:45.200',-0.014,-,-,-0.028,148.800
'14:35:45.208',-0.042,-,-,-0.014,149.600
'14:35:45.216',-0.014,-,-,-0.028,149.600
'14:35:45.224',0.000,-,-,-0.070,149.600
'14:35:45.232',0.000,-,-,-0.113,149.600
'14:35:45.240',0.000,-,-,-0.113,150.400
'14:35:45.248',-0.014,-,-,-0.085,150.400
'14:35:45.256',-0.028,-,-,-0.127,151.200
'14:35:45.264',-0.028,-,-,-0.085,150.400
'14:35:45.272',0.000,-,-,-0.070,149.600
'14:35:45.280',0.000,-,-,-0.085,148.000
'14:35:45.288',0.000,-,-,-0.127,146.400
'14:35:45.296',0.014,-,-,-0.113,144.000
'14:35:45.304',0.028,-,-,-0.056,141.600
'14:35:45.312',0.042,-,-,-0.028,139.200
'14:35:45.320',0.056,-,-,0.000,136.000
'14:35:45.328',0.069,-,-,-0.028,132.000
'14:35:45.336',0.056,-,-,0.014,128.000
'14:35:45.344',0.069,-,-,0.056,124.000
'14:35:45.352',0.083,-,-,0.042,120.800
'14:35:45.360',0.083,-,-,0.028,119.200
'14:35:45.368',0.097,-,-,0.085,119.200
'14:35:45.376',0.139,-,-,0.113,119.200
'14:35:45.384',0.125,-,-,0.070,119.200
'14:35:45.392',0.097,-,-,0.056,118.400
