'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:26:54.432',-0.139,-,-,-0.169,118.400
'14:26:54.440',-0.125,-,-,-0.169,117.600
'14:26:54.448',-0.097,-,-,-0.183,116.800
'14:26:54.456',-0.069,-,-,-0.169,116.000
'14:26:54.464',-0.056,-,-,-0.141,114.400
'14:26:54.472',-0.028,-,-,-0.127,112.800
'14:26:54.480',-0.014,-,-,-0.113,110.400
'14:26:54.488',0.000,-,-,-0.113,108.000
'14:26:54.496',0.014,-,-,-0.070,106.400
'14:26:54.504',0.014,-,-,-0.042,104.000
'14:26:54.512',0.028,-,-,0.000,100.800
'14:26:54.520',0.028,-,-,0.000,98.400
'14:26:54.528',0.028,-,-,0.014,95.200
'14:26:54.536',0.028,-,-,0.028,92.000
'14:26:54.544',0.014,-,-,0.042,89.600
'14:26:54.552',0.014,-,-,0.056,87.200
'14:26:54.560',0.028,-,-,0.056,86.400
'14:26:54.568',0.042,-,-,0.070,85.600
'14:26:54.576',0.042,-,-,0.085,86.400
'14:26:54.584',0.056,-,-,0.085,86.400
'14:26:54.592',0.056,-,-,0.085,86.400
'14:26:54.600',0.056,-,-,0.085,86.400
'14:26:54.608',0.056,-,-,0.085,85.600
'14:26:54.616',0.056,-,-,0.085,84.800
'14:26:54.624',0.056,-,-,0.056,84.000
'14:26:54.632',0.056,-,-,0.085,82.400
'14:26:54.640',0.056,-,-,0.085,81.600
'14:26:54.648',0.042,-,-,0.070,80.800
'14:26:54.656',0.042,-,-,0.085,80.000
'14:26:54.664',0.028,-,-,0.042,79.200
'14:26:54.672',0.069,-,-,0.028,78.400
'14:26:54.680',0.236,-,-,0.197,77.600
'14:26:54.688',0.458,-,-,0.408,77.600
'14:26:54.696',0.528,-,-,0.465,76.800
'14:26:54.704',0.292,-,-,-0.183,76.000
'14:26:54.712',0.028,-,-,-0.493,75.200
'14:26:54.720',-0.083,-,-,-0.507,75.200
'14:26:54.728',-0.125,-,-,-0.254,74.400
'14:26:54.736',-0.097,-,-,-0.056,73.600
'14:26:54.744',-0.083,-,-,0.000,73.600
'14:26:54.752',-0.069,-,-,0.028,72.800
'14:26:54.760',-0.083,-,-,0.028,72.000
'14:26:54.768',-0.083,-,-,0.014,71.200
'14:26:54.776',-0.083,-,-,0.000,71.200
'14:26:54.784',-0.097,-,-,0.000,70.400
'14:26:54.792',-0.097,-,-,0.000,70.400
'14:26:54.800',-0.097,-,-,-0.014,70.400
'14:26:54.808',-0.097,-,-,-0.028,72.000
'14:26:54.816',-0.125,-,-,-0.014,75.200
'14:26:54.824',-0.125,-,-,-0.028,81.600
'14:26:54.832',-0.125,-,-,-0.028,90.400
'14:26:54.840',-0.125,-,-,-0.042,100.800
'14:26:54.848',-0.125,-,-,-0.056,110.400
'14:26:54.856',-0.139,-,-,-0.070,117.600
'14:26:54.864',-0.139,-,-,-0.113,120.800
'14:26:54.872',-0.153,-,-,-0.127,120.800
'14:26:54.880',-0.167,-,-,-0.141,119.200
'14:26:54.888',-0.153,-,-,-0.169,116.800
'14:26:54.896',-0.153,-,-,-0.169,114.400
'14:26:54.904',-0.139,-,-,-0.169,112.800
'14:26:54.912',-0.083,-,-,-0.141,112.000
'14:26:54.920',-0.056,-,-,-0.141,111.200
'14:26:54.928',-0.042,-,-,-0.141,110.400
'14:26:54.936',-0.028,-,-,-0.113,109.600
'14:26:54.944',-0.014,-,-,-0.085,108.000
'14:26:54.952',0.000,-,-,-0.056,106.400
'14:26:54.960',0.000,-,-,-0.042,104.000
'14:26:54.968',0.014,-,-,-0.014,101.600
'14:26:54.976',0.014,-,-,0.000,98.400
'14:26:54.984',0.028,-,-,0.000,95.200
'14:26:54.992',0.042,-,-,0.028,92.000
'14:26:55.000',0.042,-,-,0.042,88.800
'14:26:55.008',0.042,-,-,0.056,86.400
'14:26:55.016',0.056,-,-,0.085,84.800
'14:26:55.024',0.069,-,-,0.085,84.000
'14:26:55.032',0.083,-,-,0.113,84.000
'14:26:55.040',0.083,-,-,0.113,84.000
'14:26:55.048',0.069,-,-,0.113,84.000
'14:26:55.056',0.069,-,-,0.113,84.000
'14:26:55.064',0.083,-,-,0.113,83.200
'14:26:55.072',0.125,-,-,0.127,82.400
'14:26:55.080',0.208,-,-,0.155,81.600
'14:26:55.088',0.431,-,-,0.366,80.800
'14:26:55.096',0.639,-,-,0.563,80.000
'14:26:55.104',0.681,-,-,0.592,79.200
'14:26:55.112',0.278,-,-,-0.113,78.400
'14:26:55.120',0.042,-,-,-0.282,77.600
'14:26:55.128',-0.069,-,-,-0.197,76.800
'14:26:55.136',-0.097,-,-,-0.113,76.000
'14:26:55.144',-0.069,-,-,-0.014,75.200
'14:26:55.152',-0.069,-,-,0.014,75.200
'14:26:55.160',-0.069,-,-,0.028,74.400
'14:26:55.168',-0.069,-,-,0.014,73.600
'14:26:55.176',-0.083,-,-,0.028,72.800
'14:26:55.184',-0.083,-,-,0.000,72.800
'14:26:55.192',-0.083,-,-,0.000,72.000
'14:26:55.200',-0.083,-,-,0.000,71.200
'14:26:55.208',-0.083,-,-,0.000,71.200
'14:26:55.216',-0.097,-,-,-0.028,71.200
'14:26:55.224',-0.097,-,-,-0.014,72.000
'14:26:55.232',-0.097,-,-,-0.028,75.200
'14:26:55.240',-0.097,-,-,-0.028,79.200
'14:26:55.248',-0.125,-,-,-0.028,86.400
'14:26:55.256',-0.097,-,-,-0.056,93.600
'14:26:55.264',-0.083,-,-,-0.028,100.000
'14:26:55.272',-0.069,-,-,-0.056,104.800
'14:26:55.280',-0.083,-,-,-0.042,106.400
'14:26:55.288',-0.083,-,-,-0.056,105.600
'14:26:55.296',-0.083,-,-,-0.070,103.200
