'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:59:30.152',-0.024,-,-,73.600
'34:59:30.160',-0.032,-,-,71.200
'34:59:30.168',-0.040,-,-,68.000
'34:59:30.176',-0.048,-,-,65.600
'34:59:30.184',-0.056,-,-,63.200
'34:59:30.192',-0.056,-,-,60.800
'34:59:30.200',-0.064,-,-,58.400
'34:59:30.208',-0.064,-,-,56.800
'34:59:30.216',-0.064,-,-,55.200
'34:59:30.224',-0.064,-,-,54.400
'34:59:30.232',-0.072,-,-,52.800
'34:59:30.240',-0.072,-,-,52.800
'34:59:30.248',-0.072,-,-,52.000
'34:59:30.256',-0.064,-,-,52.000
'34:59:30.264',-0.064,-,-,52.000
'34:59:30.272',-0.072,-,-,52.000
'34:59:30.280',-0.072,-,-,52.000
'34:59:30.288',-0.064,-,-,52.800
'34:59:30.296',-0.064,-,-,52.800
'34:59:30.304',-0.064,-,-,53.600
'34:59:30.312',-0.064,-,-,54.400
'34:59:30.320',-0.056,-,-,54.400
'34:59:30.328',-0.056,-,-,54.400
'34:59:30.336',-0.056,-,-,55.200
'34:59:30.344',-0.056,-,-,55.200
'34:59:30.352',-0.056,-,-,55.200
'34:59:30.360',-0.056,-,-,55.200
'34:59:30.368',-0.056,-,-,55.200
'34:59:30.376',-0.064,-,-,55.200
'34:59:30.384',-0.064,-,-,55.200
'34:59:30.392',-0.056,-,-,54.400
'34:59:30.400',-0.064,-,-,54.400
'34:59:30.408',-0.072,-,-,54.400
'34:59:30.416',-0.072,-,-,53.600
'34:59:30.424',-0.072,-,-,53.600
'34:59:30.432',-0.040,-,-,52.800
'34:59:30.440',0.048,-,-,52.800
'34:59:30.448',0.192,-,-,52.000
'34:59:30.456',0.328,-,-,52.000
'34:59:30.464',0.408,-,-,52.000
'34:59:30.472',0.408,-,-,51.200
'34:59:30.480',0.360,-,-,51.200
'34:59:30.488',0.264,-,-,51.200
'34:59:30.496',0.120,-,-,50.400
'34:59:30.504',0.000,-,-,50.400
'34:59:30.512',-0.056,-,-,50.400
'34:59:30.520',-0.080,-,-,49.600
'34:59:30.528',-0.088,-,-,49.600
'34:59:30.536',-0.072,-,-,49.600
'34:59:30.544',-0.064,-,-,48.800
'34:59:30.552',-0.064,-,-,48.800
'34:59:30.560',-0.064,-,-,48.800
'34:59:30.568',-0.064,-,-,48.800
'34:59:30.576',-0.072,-,-,48.000
'34:59:30.584',-0.072,-,-,48.000
'34:59:30.592',-0.064,-,-,48.000
'34:59:30.600',-0.056,-,-,48.000
'34:59:30.608',-0.056,-,-,48.800
'34:59:30.616',-0.048,-,-,49.600
'34:59:30.624',-0.040,-,-,51.200
'34:59:30.632',-0.032,-,-,53.600
'34:59:30.640',-0.024,-,-,57.600
'34:59:30.648',-0.016,-,-,61.600
'34:59:30.656',0.000,-,-,67.200
'34:59:30.664',0.008,-,-,72.000
'34:59:30.672',0.024,-,-,77.600
'34:59:30.680',0.032,-,-,83.200
'34:59:30.688',0.032,-,-,88.800
'34:59:30.696',0.032,-,-,93.600
'34:59:30.704',0.032,-,-,97.600
'34:59:30.712',0.024,-,-,101.600
'34:59:30.720',0.024,-,-,104.800
'34:59:30.728',0.024,-,-,107.200
'34:59:30.736',0.032,-,-,108.000
'34:59:30.744',0.032,-,-,108.800
'34:59:30.752',0.032,-,-,109.600
'34:59:30.760',0.024,-,-,108.800
'34:59:30.768',0.016,-,-,108.000
'34:59:30.776',0.008,-,-,107.200
'34:59:30.784',0.000,-,-,105.600
'34:59:30.792',-0.008,-,-,104.000
'34:59:30.800',-0.016,-,-,102.400
'34:59:30.808',-0.024,-,-,100.800
'34:59:30.816',-0.024,-,-,98.400
'34:59:30.824',-0.016,-,-,96.000
'34:59:30.832',-0.016,-,-,92.800
'34:59:30.840',-0.016,-,-,89.600
'34:59:30.848',-0.016,-,-,86.400
'34:59:30.856',-0.016,-,-,83.200
'34:59:30.864',-0.032,-,-,80.000
'34:59:30.872',-0.032,-,-,76.800
'34:59:30.880',-0.032,-,-,74.400
'34:59:30.888',-0.040,-,-,72.000
'34:59:30.896',-0.048,-,-,69.600
'34:59:30.904',-0.056,-,-,68.000
'34:59:30.912',-0.056,-,-,66.400
'34:59:30.920',-0.064,-,-,65.600
'34:59:30.928',-0.064,-,-,64.800
'34:59:30.936',-0.072,-,-,64.800
'34:59:30.944',-0.072,-,-,64.800
'34:59:30.952',-0.072,-,-,64.800
'34:59:30.960',-0.064,-,-,64.800
'34:59:30.968',-0.064,-,-,64.800
'34:59:30.976',-0.056,-,-,65.600
'34:59:30.984',-0.048,-,-,65.600
'34:59:30.992',-0.040,-,-,65.600
'34:59:31.000',-0.040,-,-,65.600
'34:59:31.008',-0.032,-,-,66.400
'34:59:31.016',-0.040,-,-,66.400
'34:59:31.024',-0.040,-,-,65.600
'34:59:31.032',-0.040,-,-,65.600
'34:59:31.040',-0.040,-,-,65.600
'34:59:31.048',-0.048,-,-,64.800
'34:59:31.056',-0.048,-,-,64.800
'34:59:31.064',-0.048,-,-,64.000
'34:59:31.072',-0.056,-,-,64.000
'34:59:31.080',-0.056,-,-,63.200
'34:59:31.088',-0.064,-,-,62.400
'34:59:31.096',-0.072,-,-,62.400
'34:59:31.104',-0.072,-,-,61.600
'34:59:31.112',-0.072,-,-,60.800
'34:59:31.120',-0.080,-,-,60.800
'34:59:31.128',-0.072,-,-,60.000
