'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'35:27:45.576',-,0.136,-,-,-0.144,-,61.920,-
'35:27:45.584',-,0.096,-,-,-0.144,-,61.920,-
'35:27:45.592',-,0.064,-,-,-0.136,-,61.920,-
'35:27:45.600',-,-0.064,-,-,-0.112,-,60.960,-
'35:27:45.608',-,-0.200,-,-,-0.088,-,60.960,-
'35:27:45.616',-,-0.376,-,-,-0.040,-,59.520,-
'35:27:45.624',-,-0.512,-,-,0.000,-,59.520,-
'35:27:45.632',-,-0.544,-,-,0.048,-,59.520,-
'35:27:45.640',-,-0.480,-,-,0.088,-,59.520,-
'35:27:45.648',-,-0.344,-,-,0.080,-,58.560,-
'35:27:45.656',-,-0.200,-,-,0.072,-,58.560,-
'35:27:45.664',-,-0.096,-,-,0.048,-,58.560,-
'35:27:45.672',-,-0.064,-,-,0.064,-,58.560,-
'35:27:45.680',-,-0.064,-,-,0.072,-,58.560,-
'35:27:45.688',-,-0.064,-,-,0.072,-,58.560,-
'35:27:45.696',-,-0.064,-,-,0.080,-,58.560,-
'35:27:45.704',-,-0.064,-,-,0.080,-,58.560,-
'35:27:45.712',-,-0.032,-,-,0.080,-,58.560,-
'35:27:45.720',-,-0.064,-,-,0.072,-,58.560,-
'35:27:45.728',-,-0.032,-,-,0.072,-,59.520,-
'35:27:45.736',-,-0.064,-,-,0.080,-,61.920,-
'35:27:45.744',-,-0.032,-,-,0.072,-,64.320,-
'35:27:45.752',-,-0.064,-,-,0.080,-,66.720,-
'35:27:45.760',-,-0.032,-,-,0.088,-,70.560,-
'35:27:45.768',-,-0.032,-,-,0.096,-,73.920,-
'35:27:45.776',-,-0.032,-,-,0.088,-,77.760,-
'35:27:45.784',-,-0.032,-,-,0.096,-,81.120,-
'35:27:45.792',-,0.000,-,-,0.096,-,83.520,-
'35:27:45.800',-,0.000,-,-,0.088,-,85.920,-
'35:27:45.808',-,0.000,-,-,0.088,-,88.320,-
'35:27:45.816',-,0.000,-,-,0.072,-,89.760,-
'35:27:45.824',-,0.032,-,-,0.080,-,92.160,-
'35:27:45.832',-,0.064,-,-,0.048,-,92.160,-
'35:27:45.840',-,0.064,-,-,0.032,-,92.160,-
'35:27:45.848',-,0.096,-,-,0.016,-,92.160,-
'35:27:45.856',-,0.096,-,-,0.000,-,92.160,-
'35:27:45.864',-,0.136,-,-,-0.008,-,90.720,-
'35:27:45.872',-,0.096,-,-,-0.016,-,89.760,-
'35:27:45.880',-,0.096,-,-,-0.024,-,88.320,-
'35:27:45.888',-,0.064,-,-,-0.032,-,85.920,-
'35:27:45.896',-,0.064,-,-,-0.024,-,83.520,-
'35:27:45.904',-,0.064,-,-,-0.032,-,81.120,-
'35:27:45.912',-,0.064,-,-,-0.032,-,78.720,-
'35:27:45.920',-,0.064,-,-,-0.024,-,76.320,-
'35:27:45.928',-,0.096,-,-,-0.016,-,73.920,-
'35:27:45.936',-,0.136,-,-,-0.032,-,71.520,-
'35:27:45.944',-,0.136,-,-,-0.072,-,69.120,-
'35:27:45.952',-,0.200,-,-,-0.096,-,68.160,-
'35:27:45.960',-,0.200,-,-,-0.128,-,66.720,-
'35:27:45.968',-,0.200,-,-,-0.136,-,65.760,-
'35:27:45.976',-,0.200,-,-,-0.128,-,65.760,-
'35:27:45.984',-,0.136,-,-,-0.096,-,64.320,-
'35:27:45.992',-,0.096,-,-,-0.080,-,65.760,-
'35:27:46.000',-,0.032,-,-,-0.040,-,65.760,-
'35:27:46.008',-,0.000,-,-,-0.016,-,65.760,-
'35:27:46.016',-,-0.032,-,-,-0.008,-,66.720,-
'35:27:46.024',-,-0.032,-,-,-0.008,-,66.720,-
'35:27:46.032',-,-0.032,-,-,-0.008,-,66.720,-
'35:27:46.040',-,-0.064,-,-,-0.008,-,68.160,-
'35:27:46.048',-,-0.032,-,-,-0.008,-,68.160,-
'35:27:46.056',-,-0.064,-,-,0.000,-,68.160,-
'35:27:46.064',-,-0.064,-,-,-0.008,-,68.160,-
'35:27:46.072',-,-0.064,-,-,0.000,-,68.160,-
'35:27:46.080',-,-0.032,-,-,-0.008,-,68.160,-
'35:27:46.088',-,-0.064,-,-,0.000,-,68.160,-
'35:27:46.096',-,-0.032,-,-,0.000,-,66.720,-
'35:27:46.104',-,-0.064,-,-,0.000,-,66.720,-
'35:27:46.112',-,-0.032,-,-,-0.008,-,66.720,-
'35:27:46.120',-,-0.064,-,-,0.000,-,65.760,-
'35:27:46.128',-,-0.064,-,-,0.000,-,65.760,-
'35:27:46.136',-,-0.064,-,-,-0.016,-,65.760,-
'35:27:46.144',-,0.000,-,-,-0.064,-,64.320,-
'35:27:46.152',-,0.064,-,-,-0.072,-,64.320,-
'35:27:46.160',-,0.136,-,-,-0.008,-,64.320,-
'35:27:46.168',-,0.200,-,-,-0.040,-,63.360,-
'35:27:46.176',-,0.376,-,-,-0.072,-,63.360,-
'35:27:46.184',-,0.344,-,-,-0.024,-,61.920,-
'35:27:46.192',-,0.168,-,-,0.008,-,61.920,-
'35:27:46.200',-,-0.064,-,-,0.088,-,61.920,-
'35:27:46.208',-,-0.168,-,-,0.104,-,60.960,-
'35:27:46.216',-,-0.168,-,-,0.072,-,60.960,-
'35:27:46.224',-,-0.168,-,-,0.048,-,60.960,-
'35:27:46.232',-,-0.168,-,-,0.032,-,60.960,-
'35:27:46.240',-,-0.168,-,-,0.048,-,59.520,-
'35:27:46.248',-,-0.168,-,-,0.032,-,59.520,-
'35:27:46.256',-,-0.168,-,-,0.032,-,59.520,-
'35:27:46.264',-,-0.168,-,-,0.032,-,59.520,-
'35:27:46.272',-,-0.168,-,-,0.032,-,58.560,-
'35:27:46.280',-,-0.168,-,-,0.024,-,58.560,-
'35:27:46.288',-,-0.136,-,-,0.024,-,59.520,-
'35:27:46.296',-,-0.136,-,-,0.024,-,59.520,-
'35:27:46.304',-,-0.136,-,-,0.016,-,60.960,-
'35:27:46.312',-,-0.136,-,-,0.024,-,61.920,-
'35:27:46.320',-,-0.136,-,-,0.024,-,65.760,-
'35:27:46.328',-,-0.136,-,-,0.016,-,69.120,-
'35:27:46.336',-,-0.136,-,-,0.024,-,72.960,-
'35:27:46.344',-,-0.136,-,-,0.016,-,77.760,-
'35:27:46.352',-,-0.136,-,-,0.016,-,81.120,-
'35:27:46.360',-,-0.136,-,-,0.016,-,84.960,-
'35:27:46.368',-,-0.136,-,-,0.016,-,88.320,-
'35:27:46.376',-,-0.136,-,-,0.008,-,90.720,-
'35:27:46.384',-,-0.136,-,-,0.000,-,93.120,-
'35:27:46.392',-,-0.136,-,-,0.000,-,94.560,-
'35:27:46.400',-,-0.096,-,-,-0.008,-,95.520,-
'35:27:46.408',-,-0.064,-,-,-0.016,-,95.520,-
'35:27:46.416',-,-0.096,-,-,-0.016,-,95.520,-
'35:27:46.424',-,-0.064,-,-,-0.032,-,95.520,-
'35:27:46.432',-,-0.032,-,-,-0.024,-,94.560,-
'35:27:46.440',-,0.000,-,-,-0.032,-,93.120,-
'35:27:46.448',-,0.000,-,-,-0.040,-,92.160,-
'35:27:46.456',-,0.000,-,-,-0.032,-,90.720,-
'35:27:46.464',-,0.000,-,-,-0.040,-,88.320,-
'35:27:46.472',-,0.000,-,-,-0.032,-,87.360,-
'35:27:46.480',-,0.000,-,-,-0.032,-,83.520,-
'35:27:46.488',-,0.000,-,-,-0.024,-,81.120,-
'35:27:46.496',-,0.000,-,-,-0.032,-,78.720,-
'35:27:46.504',-,0.000,-,-,-0.024,-,75.360,-
'35:27:46.512',-,0.000,-,-,-0.032,-,72.960,-
'35:27:46.520',-,0.000,-,-,-0.016,-,70.560,-
'35:27:46.528',-,0.064,-,-,-0.024,-,69.120,-
'35:27:46.536',-,0.064,-,-,-0.016,-,68.160,-
'35:27:46.544',-,0.136,-,-,-0.032,-,68.160,-
'35:27:46.552',-,0.136,-,-,-0.072,-,68.160,-
'35:27:46.560',-,0.200,-,-,-0.096,-,68.160,-
'35:27:46.568',-,0.200,-,-,-0.112,-,68.160,-
'35:27:46.576',-,0.200,-,-,-0.128,-,68.160,-
'35:27:46.584',-,0.200,-,-,-0.112,-,69.120,-
'35:27:46.592',-,0.136,-,-,-0.088,-,69.120,-
'35:27:46.600',-,0.064,-,-,-0.064,-,69.120,-
'35:27:46.608',-,0.032,-,-,-0.032,-,69.120,-
'35:27:46.616',-,0.000,-,-,-0.016,-,69.120,-
'35:27:46.624',-,0.000,-,-,-0.008,-,69.120,-
'35:27:46.632',-,-0.032,-,-,0.000,-,69.120,-
'35:27:46.640',-,-0.032,-,-,0.000,-,69.120,-
'35:27:46.648',-,0.000,-,-,0.000,-,69.120,-
'35:27:46.656',-,-0.032,-,-,0.000,-,69.120,-
'35:27:46.664',-,-0.032,-,-,0.000,-,69.120,-
'35:27:46.672',-,-0.032,-,-,0.000,-,69.120,-
'35:27:46.680',-,-0.032,-,-,0.000,-,69.120,-
'35:27:46.688',-,-0.032,-,-,0.000,-,68.160,-
'35:27:46.696',-,-0.032,-,-,0.000,-,68.160,-
'35:27:46.704',-,-0.032,-,-,0.008,-,68.160,-
'35:27:46.712',-,-0.032,-,-,0.000,-,68.160,-
'35:27:46.720',-,-0.032,-,-,0.008,-,68.160,-
'35:27:46.728',-,0.000,-,-,0.000,-,66.720,-
'35:27:46.736',-,0.000,-,-,0.000,-,66.720,-
'35:27:46.744',-,0.000,-,-,-0.016,-,66.720,-
'35:27:46.752',-,0.168,-,-,-0.040,-,65.760,-
'35:27:46.760',-,0.200,-,-,-0.064,-,65.760,-
'35:27:46.768',-,0.168,-,-,-0.080,-,64.320,-
'35:27:46.776',-,0.136,-,-,-0.160,-,64.320,-
'35:27:46.784',-,0.136,-,-,-0.168,-,64.320,-
'35:27:46.792',-,0.136,-,-,-0.144,-,63.360,-
'35:27:46.800',-,0.136,-,-,-0.144,-,63.360,-
'35:27:46.808',-,0.064,-,-,-0.144,-,61.920,-
'35:27:46.816',-,-0.064,-,-,-0.112,-,61.920,-
'35:27:46.824',-,-0.200,-,-,-0.072,-,61.920,-
'35:27:46.832',-,-0.408,-,-,-0.024,-,60.960,-
'35:27:46.840',-,-0.544,-,-,0.016,-,60.960,-
'35:27:46.848',-,-0.584,-,-,0.072,-,60.960,-
'35:27:46.856',-,-0.448,-,-,0.088,-,60.960,-
'35:27:46.864',-,-0.344,-,-,0.072,-,59.520,-
'35:27:46.872',-,-0.200,-,-,0.064,-,59.520,-
'35:27:46.880',-,-0.096,-,-,0.048,-,59.520,-
'35:27:46.888',-,-0.064,-,-,0.064,-,59.520,-
'35:27:46.896',-,-0.064,-,-,0.048,-,59.520,-
'35:27:46.904',-,-0.064,-,-,0.072,-,59.520,-
'35:27:46.912',-,-0.064,-,-,0.072,-,59.520,-
'35:27:46.920',-,-0.064,-,-,0.072,-,59.520,-
'35:27:46.928',-,-0.064,-,-,0.072,-,60.960,-
'35:27:46.936',-,-0.064,-,-,0.072,-,61.920,-
'35:27:46.944',-,-0.064,-,-,0.072,-,63.360,-
'35:27:46.952',-,-0.064,-,-,0.072,-,65.760,-
'35:27:46.960',-,-0.064,-,-,0.080,-,69.120,-
'35:27:46.968',-,-0.064,-,-,0.080,-,72.960,-
'35:27:46.976',-,-0.032,-,-,0.088,-,76.320,-
'35:27:46.984',-,-0.064,-,-,0.072,-,80.160,-
'35:27:46.992',-,-0.032,-,-,0.088,-,82.560,-
'35:27:47.000',-,-0.032,-,-,0.080,-,85.920,-
'35:27:47.008',-,0.000,-,-,0.088,-,89.760,-
'35:27:47.016',-,0.000,-,-,0.080,-,90.720,-
'35:27:47.024',-,0.000,-,-,0.072,-,93.120,-
'35:27:47.032',-,0.000,-,-,0.072,-,94.560,-
'35:27:47.040',-,0.032,-,-,0.072,-,95.520,-
'35:27:47.048',-,0.064,-,-,0.048,-,95.520,-
'35:27:47.056',-,0.064,-,-,0.032,-,96.960,-
'35:27:47.064',-,0.096,-,-,0.016,-,95.520,-
'35:27:47.072',-,0.096,-,-,0.000,-,95.520,-
'35:27:47.080',-,0.136,-,-,-0.008,-,94.560,-
'35:27:47.088',-,0.096,-,-,-0.016,-,93.120,-
'35:27:47.096',-,0.136,-,-,-0.032,-,92.160,-
