'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'35:31.760',-,-,-,-,-,-,0.168,0.088,102.000,-
'35:31.768',-,-,-,-,-,-,0.272,0.184,102.000,-
'35:31.776',-,-,-,-,-,-,0.360,0.320,100.800,-
'35:31.784',-,-,-,-,-,-,0.424,0.392,100.800,-
'35:31.792',-,-,-,-,-,-,0.464,0.440,99.600,-
'35:31.800',-,-,-,-,-,-,0.488,0.464,98.400,-
'35:31.808',-,-,-,-,-,-,0.488,0.464,97.200,-
'35:31.816',-,-,-,-,-,-,0.464,0.488,96.000,-
'35:31.824',-,-,-,-,-,-,0.376,0.392,94.800,-
'35:31.832',-,-,-,-,-,-,0.312,0.320,92.400,-
'35:31.840',-,-,-,-,-,-,0.232,0.232,90.000,-
'35:31.848',-,-,-,-,-,-,0.168,0.184,87.600,-
'35:31.856',-,-,-,-,-,-,0.104,0.112,84.000,-
'35:31.864',-,-,-,-,-,-,0.056,0.040,80.400,-
'35:31.872',-,-,-,-,-,-,0.040,0.016,78.000,-
'35:31.880',-,-,-,-,-,-,0.000,0.000,78.000,-
'35:31.888',-,-,-,-,-,-,-0.016,-0.016,76.800,-
'35:31.896',-,-,-,-,-,-,-0.040,-0.040,76.800,-
'35:31.904',-,-,-,-,-,-,-0.056,-0.064,75.600,-
'35:31.912',-,-,-,-,-,-,-0.080,-0.064,74.400,-
'35:31.920',-,-,-,-,-,-,-0.056,-0.064,74.400,-
'35:31.928',-,-,-,-,-,-,-0.056,-0.040,74.400,-
'35:31.936',-,-,-,-,-,-,-0.056,-0.040,73.200,-
'35:31.944',-,-,-,-,-,-,-0.056,-0.088,73.200,-
'35:31.952',-,-,-,-,-,-,-0.056,-0.112,72.000,-
'35:31.960',-,-,-,-,-,-,-0.056,-0.088,70.800,-
'35:31.968',-,-,-,-,-,-,-0.080,-0.064,70.800,-
'35:31.976',-,-,-,-,-,-,-0.080,-0.088,70.800,-
'35:31.984',-,-,-,-,-,-,-0.080,-0.112,70.800,-
'35:31.992',-,-,-,-,-,-,-0.080,-0.088,69.600,-
'35:32.000',-,-,-,-,-,-,-0.080,-0.112,69.600,-
'35:32.008',-,-,-,-,-,-,-0.080,-0.112,69.600,-
'35:32.016',-,-,-,-,-,-,-0.080,-0.088,68.400,-
'35:32.024',-,-,-,-,-,-,-0.056,-0.064,68.400,-
'35:32.032',-,-,-,-,-,-,-0.080,-0.040,68.400,-
'35:32.040',-,-,-,-,-,-,-0.080,-0.112,67.200,-
'35:32.048',-,-,-,-,-,-,-0.080,-0.112,67.200,-
'35:32.056',-,-,-,-,-,-,-0.056,-0.064,67.200,-
'35:32.064',-,-,-,-,-,-,-0.056,-0.064,66.000,-
'35:32.072',-,-,-,-,-,-,-0.056,-0.040,66.000,-
'35:32.080',-,-,-,-,-,-,-0.056,-0.064,66.000,-
'35:32.088',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'35:32.096',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'35:32.104',-,-,-,-,-,-,-0.056,-0.040,64.800,-
'35:32.112',-,-,-,-,-,-,-0.056,-0.064,64.800,-
'35:32.120',-,-,-,-,-,-,-0.056,-0.064,63.600,-
'35:32.128',-,-,-,-,-,-,-0.056,-0.040,63.600,-
'35:32.136',-,-,-,-,-,-,-0.056,-0.040,63.600,-
'35:32.144',-,-,-,-,-,-,-0.056,-0.064,62.400,-
'35:32.152',-,-,-,-,-,-,-0.056,-0.064,62.400,-
'35:32.160',-,-,-,-,-,-,-0.040,-0.040,62.400,-
'35:32.168',-,-,-,-,-,-,-0.040,-0.016,61.200,-
'35:32.176',-,-,-,-,-,-,-0.040,-0.016,61.200,-
'35:32.184',-,-,-,-,-,-,-0.056,-0.064,61.200,-
'35:32.192',-,-,-,-,-,-,-0.040,-0.064,61.200,-
'35:32.200',-,-,-,-,-,-,-0.040,-0.040,61.200,-
'35:32.208',-,-,-,-,-,-,-0.040,-0.040,60.000,-
'35:32.216',-,-,-,-,-,-,-0.056,-0.040,60.000,-
'35:32.224',-,-,-,-,-,-,-0.056,-0.040,60.000,-
'35:32.232',-,-,-,-,-,-,-0.056,-0.064,60.000,-
'35:32.240',-,-,-,-,-,-,-0.056,-0.040,60.000,-
'35:32.248',-,-,-,-,-,-,-0.056,-0.064,58.800,-
'35:32.256',-,-,-,-,-,-,-0.056,-0.088,58.800,-
'35:32.264',-,-,-,-,-,-,-0.040,-0.040,58.800,-
'35:32.272',-,-,-,-,-,-,-0.040,-0.040,58.800,-
'35:32.280',-,-,-,-,-,-,-0.040,-0.040,57.600,-
'35:32.288',-,-,-,-,-,-,-0.016,0.000,57.600,-
'35:32.296',-,-,-,-,-,-,0.000,0.000,57.600,-
'35:32.304',-,-,-,-,-,-,-0.016,0.000,57.600,-
'35:32.312',-,-,-,-,-,-,-0.040,-0.040,57.600,-
'35:32.320',-,-,-,-,-,-,-0.040,-0.040,57.600,-
'35:32.328',-,-,-,-,-,-,-0.016,-0.040,57.600,-
'35:32.336',-,-,-,-,-,-,-0.040,-0.016,57.600,-
'35:32.344',-,-,-,-,-,-,-0.016,-0.040,57.600,-
'35:32.352',-,-,-,-,-,-,0.056,0.000,58.800,-
'35:32.360',-,-,-,-,-,-,0.120,0.112,58.800,-
'35:32.368',-,-,-,-,-,-,0.040,0.160,58.800,-
'35:32.376',-,-,-,-,-,-,-0.208,-0.040,57.600,-
'35:32.384',-,-,-,-,-,-,-0.504,-0.344,57.600,-
'35:32.392',-,-,-,-,-,-,-0.616,-0.720,56.400,-
'35:32.400',-,-,-,-,-,-,-0.528,-0.744,56.400,-
