'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg','mmHg'
'37:40:25.064',-,0.000,-,-,-,-,72.000,30.720,45.000
'37:40:25.072',-,0.000,-,-,-,-,72.000,30.720,45.000
'37:40:25.080',-,0.000,-,-,-,-,70.800,30.720,45.000
'37:40:25.088',-,0.000,-,-,-,-,70.800,30.720,45.000
'37:40:25.096',-,0.000,-,-,-,-,70.800,30.720,45.000
'37:40:25.104',-,0.000,-,-,-,-,69.600,30.360,45.000
'37:40:25.112',-,0.000,-,-,-,-,69.600,29.880,45.000
'37:40:25.120',-,0.000,-,-,-,-,69.600,29.520,45.000
'37:40:25.128',-,0.000,-,-,-,-,68.400,29.160,45.000
'37:40:25.136',-,0.000,-,-,-,-,68.400,28.680,45.000
'37:40:25.144',-,0.000,-,-,-,-,68.400,28.320,45.000
'37:40:25.152',-,0.000,-,-,-,-,67.200,28.320,45.000
'37:40:25.160',-,0.000,-,-,-,-,67.200,28.320,45.000
'37:40:25.168',-,0.000,-,-,-,-,67.200,27.960,45.000
'37:40:25.176',-,0.000,-,-,-,-,66.000,27.960,45.000
'37:40:25.184',-,0.000,-,-,-,-,66.000,27.480,45.000
'37:40:25.192',-,0.000,-,-,-,-,66.000,27.120,45.000
'37:40:25.200',-,0.000,-,-,-,-,64.800,27.120,45.000
'37:40:25.208',-,0.000,-,-,-,-,64.800,27.120,45.000
'37:40:25.216',-,0.000,-,-,-,-,64.800,27.120,45.000
'37:40:25.224',-,0.000,-,-,-,-,63.600,26.760,45.000
'37:40:25.232',-,-0.024,-,-,-,-,63.600,26.760,45.000
'37:40:25.240',-,-0.040,-,-,-,-,62.400,26.760,45.000
'37:40:25.248',-,0.008,-,-,-,-,62.400,26.760,45.000
'37:40:25.256',-,0.024,-,-,-,-,62.400,26.280,45.000
'37:40:25.264',-,0.000,-,-,-,-,61.200,26.280,45.000
'37:40:25.272',-,0.008,-,-,-,-,61.200,25.920,45.000
'37:40:25.280',-,0.008,-,-,-,-,61.200,25.920,45.000
'37:40:25.288',-,0.024,-,-,-,-,60.000,25.560,45.000
'37:40:25.296',-,0.024,-,-,-,-,60.000,25.560,45.000
'37:40:25.304',-,0.040,-,-,-,-,60.000,25.560,45.000
'37:40:25.312',-,0.040,-,-,-,-,58.800,25.560,45.000
'37:40:25.320',-,0.056,-,-,-,-,58.800,25.920,45.000
'37:40:25.328',-,0.024,-,-,-,-,58.800,25.920,45.000
'37:40:25.336',-,0.008,-,-,-,-,58.800,25.920,45.000
'37:40:25.344',-,0.000,-,-,-,-,57.600,25.560,45.000
'37:40:25.352',-,-0.024,-,-,-,-,57.600,25.560,45.000
'37:40:25.360',-,-0.040,-,-,-,-,57.600,25.080,45.000
'37:40:25.368',-,-0.056,-,-,-,-,57.600,24.720,45.000
'37:40:25.376',-,-0.064,-,-,-,-,56.400,24.360,45.000
'37:40:25.384',-,-0.064,-,-,-,-,56.400,24.360,45.000
'37:40:25.392',-,-0.064,-,-,-,-,56.400,23.880,45.000
'37:40:25.400',-,-0.064,-,-,-,-,56.400,24.360,45.000
'37:40:25.408',-,-0.080,-,-,-,-,56.400,24.360,45.000
'37:40:25.416',-,-0.096,-,-,-,-,56.400,24.720,45.000
'37:40:25.424',-,-0.112,-,-,-,-,56.400,24.720,45.000
'37:40:25.432',-,-0.168,-,-,-,-,56.400,24.720,45.000
'37:40:25.440',-,-0.208,-,-,-,-,56.400,24.360,45.000
'37:40:25.448',-,-0.224,-,-,-,-,56.400,24.720,45.000
'37:40:25.456',-,-0.168,-,-,-,-,55.200,25.080,45.000
'37:40:25.464',-,-0.096,-,-,-,-,55.200,26.760,45.000
'37:40:25.472',-,0.000,-,-,-,-,55.200,29.520,45.000
'37:40:25.480',-,0.096,-,-,-,-,55.200,33.120,45.000
'37:40:25.488',-,0.128,-,-,-,-,55.200,35.160,45.000
'37:40:25.496',-,0.096,-,-,-,-,55.200,33.480,45.000
'37:40:25.504',-,0.024,-,-,-,-,54.000,27.480,45.000
'37:40:25.512',-,-0.024,-,-,-,-,54.000,20.760,45.000
'37:40:25.520',-,-0.024,-,-,-,-,54.000,16.680,45.000
'37:40:25.528',-,0.000,-,-,-,-,54.000,16.680,45.000
'37:40:25.536',-,0.024,-,-,-,-,54.000,21.120,45.000
'37:40:25.544',-,0.040,-,-,-,-,54.000,27.960,45.000
'37:40:25.552',-,0.024,-,-,-,-,52.800,35.160,45.000
'37:40:25.560',-,0.024,-,-,-,-,52.800,41.520,45.000
'37:40:25.568',-,0.024,-,-,-,-,52.800,45.480,45.000
'37:40:25.576',-,0.024,-,-,-,-,52.800,47.160,45.000
'37:40:25.584',-,0.008,-,-,-,-,52.800,46.680,45.000
'37:40:25.592',-,0.008,-,-,-,-,52.800,45.120,45.000
'37:40:25.600',-,0.008,-,-,-,-,52.800,44.280,45.000
'37:40:25.608',-,0.008,-,-,-,-,52.800,44.760,45.000
'37:40:25.616',-,0.008,-,-,-,-,52.800,46.680,45.000
'37:40:25.624',-,0.024,-,-,-,-,52.800,49.080,45.000
'37:40:25.632',-,0.024,-,-,-,-,52.800,51.960,45.000
'37:40:25.640',-,0.024,-,-,-,-,52.800,53.880,45.000
'37:40:25.648',-,0.024,-,-,-,-,54.000,54.360,45.000
'37:40:25.656',-,0.024,-,-,-,-,58.800,53.520,45.000
'37:40:25.664',-,0.024,-,-,-,-,66.000,52.320,45.000
'37:40:25.672',-,0.024,-,-,-,-,75.600,51.120,45.000
'37:40:25.680',-,0.024,-,-,-,-,87.600,49.920,45.000
