'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'57:56.760',-,-,-,-,-,-,0.488,0.440,99.600,-
'57:56.768',-,-,-,-,-,-,0.400,0.368,97.200,-
'57:56.776',-,-,-,-,-,-,0.296,0.296,94.800,-
'57:56.784',-,-,-,-,-,-,0.184,0.160,92.400,-
'57:56.792',-,-,-,-,-,-,0.144,0.064,90.000,-
'57:56.800',-,-,-,-,-,-,0.104,0.016,87.600,-
'57:56.808',-,-,-,-,-,-,0.056,0.000,85.200,-
'57:56.816',-,-,-,-,-,-,0.040,0.000,84.000,-
'57:56.824',-,-,-,-,-,-,0.016,0.000,82.800,-
'57:56.832',-,-,-,-,-,-,0.016,-0.040,82.800,-
'57:56.840',-,-,-,-,-,-,0.016,-0.064,81.600,-
'57:56.848',-,-,-,-,-,-,0.000,-0.064,81.600,-
'57:56.856',-,-,-,-,-,-,-0.040,-0.112,80.400,-
'57:56.864',-,-,-,-,-,-,-0.056,-0.184,80.400,-
'57:56.872',-,-,-,-,-,-,-0.040,-0.112,79.200,-
'57:56.880',-,-,-,-,-,-,-0.040,-0.088,79.200,-
'57:56.888',-,-,-,-,-,-,-0.016,-0.064,78.000,-
'57:56.896',-,-,-,-,-,-,0.000,-0.136,76.800,-
'57:56.904',-,-,-,-,-,-,0.000,-0.112,76.800,-
'57:56.912',-,-,-,-,-,-,-0.016,-0.064,75.600,-
'57:56.920',-,-,-,-,-,-,-0.040,-0.040,75.600,-
'57:56.928',-,-,-,-,-,-,-0.104,-0.112,74.400,-
'57:56.936',-,-,-,-,-,-,-0.104,-0.160,74.400,-
'57:56.944',-,-,-,-,-,-,-0.080,-0.208,73.200,-
'57:56.952',-,-,-,-,-,-,-0.056,-0.160,72.000,-
'57:56.960',-,-,-,-,-,-,-0.056,-0.160,72.000,-
'57:56.968',-,-,-,-,-,-,-0.080,-0.184,72.000,-
'57:56.976',-,-,-,-,-,-,-0.104,-0.160,70.800,-
'57:56.984',-,-,-,-,-,-,-0.104,-0.248,70.800,-
'57:56.992',-,-,-,-,-,-,-0.040,-0.112,70.800,-
'57:57.000',-,-,-,-,-,-,-0.040,-0.064,70.800,-
'57:57.008',-,-,-,-,-,-,-0.056,-0.112,69.600,-
'57:57.016',-,-,-,-,-,-,-0.056,-0.136,69.600,-
'57:57.024',-,-,-,-,-,-,-0.056,-0.160,69.600,-
'57:57.032',-,-,-,-,-,-,-0.080,-0.160,68.400,-
'57:57.040',-,-,-,-,-,-,-0.080,-0.160,68.400,-
'57:57.048',-,-,-,-,-,-,-0.080,-0.136,68.400,-
'57:57.056',-,-,-,-,-,-,-0.056,-0.160,67.200,-
'57:57.064',-,-,-,-,-,-,-0.056,-0.112,67.200,-
'57:57.072',-,-,-,-,-,-,0.000,-0.112,66.000,-
'57:57.080',-,-,-,-,-,-,0.080,-0.112,66.000,-
'57:57.088',-,-,-,-,-,-,0.104,0.040,64.800,-
'57:57.096',-,-,-,-,-,-,-0.056,0.000,63.600,-
'57:57.104',-,-,-,-,-,-,-0.360,-0.208,63.600,-
'57:57.112',-,-,-,-,-,-,-0.568,-0.600,62.400,-
'57:57.120',-,-,-,-,-,-,-0.592,-0.760,61.200,-
'57:57.128',-,-,-,-,-,-,-0.376,-0.504,61.200,-
'57:57.136',-,-,-,-,-,-,-0.272,-0.368,60.000,-
'57:57.144',-,-,-,-,-,-,-0.248,-0.296,60.000,-
'57:57.152',-,-,-,-,-,-,-0.248,-0.248,60.000,-
'57:57.160',-,-,-,-,-,-,-0.208,-0.208,60.000,-
'57:57.168',-,-,-,-,-,-,-0.144,-0.160,61.200,-
'57:57.176',-,-,-,-,-,-,-0.104,-0.160,63.600,-
'57:57.184',-,-,-,-,-,-,-0.104,-0.112,67.200,-
'57:57.192',-,-,-,-,-,-,-0.080,-0.040,73.200,-
'57:57.200',-,-,-,-,-,-,-0.056,-0.088,80.400,-
'57:57.208',-,-,-,-,-,-,-0.056,-0.112,87.600,-
'57:57.216',-,-,-,-,-,-,-0.080,-0.088,92.400,-
'57:57.224',-,-,-,-,-,-,-0.080,-0.064,94.800,-
'57:57.232',-,-,-,-,-,-,-0.080,-0.112,96.000,-
'57:57.240',-,-,-,-,-,-,-0.040,-0.112,98.400,-
'57:57.248',-,-,-,-,-,-,-0.016,-0.040,99.600,-
'57:57.256',-,-,-,-,-,-,-0.016,-0.016,100.800,-
'57:57.264',-,-,-,-,-,-,-0.016,-0.016,100.800,-
'57:57.272',-,-,-,-,-,-,0.000,0.000,100.800,-
'57:57.280',-,-,-,-,-,-,0.040,-0.016,99.600,-
'57:57.288',-,-,-,-,-,-,0.104,0.088,99.600,-
'57:57.296',-,-,-,-,-,-,0.208,0.136,99.600,-
'57:57.304',-,-,-,-,-,-,0.296,0.248,99.600,-
'57:57.312',-,-,-,-,-,-,0.336,0.320,98.400,-
'57:57.320',-,-,-,-,-,-,0.376,0.344,97.200,-
'57:57.328',-,-,-,-,-,-,0.440,0.368,96.000,-
'57:57.336',-,-,-,-,-,-,0.488,0.440,94.800,-
'57:57.344',-,-,-,-,-,-,0.464,0.488,93.600,-
'57:57.352',-,-,-,-,-,-,0.424,0.440,92.400,-
'57:57.360',-,-,-,-,-,-,0.360,0.392,90.000,-
'57:57.368',-,-,-,-,-,-,0.272,0.296,87.600,-
'57:57.376',-,-,-,-,-,-,0.184,0.184,84.000,-
'57:57.384',-,-,-,-,-,-,0.080,0.088,81.600,-
'57:57.392',-,-,-,-,-,-,0.016,0.016,79.200,-
'57:57.400',-,-,-,-,-,-,0.000,0.000,76.800,-
'57:57.408',-,-,-,-,-,-,-0.016,0.000,75.600,-
'57:57.416',-,-,-,-,-,-,0.000,-0.016,75.600,-
'57:57.424',-,-,-,-,-,-,0.000,0.000,74.400,-
'57:57.432',-,-,-,-,-,-,-0.040,-0.040,73.200,-
'57:57.440',-,-,-,-,-,-,-0.104,-0.064,73.200,-
'57:57.448',-,-,-,-,-,-,-0.144,-0.112,72.000,-
'57:57.456',-,-,-,-,-,-,-0.120,-0.136,72.000,-
'57:57.464',-,-,-,-,-,-,-0.080,-0.088,72.000,-
'57:57.472',-,-,-,-,-,-,-0.056,-0.040,70.800,-
'57:57.480',-,-,-,-,-,-,-0.080,-0.088,70.800,-
'57:57.488',-,-,-,-,-,-,-0.104,-0.112,69.600,-
'57:57.496',-,-,-,-,-,-,-0.120,-0.112,69.600,-
'57:57.504',-,-,-,-,-,-,-0.104,-0.112,68.400,-
'57:57.512',-,-,-,-,-,-,-0.056,-0.088,68.400,-
'57:57.520',-,-,-,-,-,-,-0.104,-0.064,68.400,-
