'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'26:04.760',-,-,-,-,-,-,0.016,0.000,104.400,-
'26:04.768',-,-,-,-,-,-,0.040,0.000,104.400,-
'26:04.776',-,-,-,-,-,-,0.080,0.040,104.400,-
'26:04.784',-,-,-,-,-,-,0.144,0.088,104.400,-
'26:04.792',-,-,-,-,-,-,0.184,0.160,104.400,-
'26:04.800',-,-,-,-,-,-,0.272,0.232,104.400,-
'26:04.808',-,-,-,-,-,-,0.376,0.320,103.200,-
'26:04.816',-,-,-,-,-,-,0.464,0.416,103.200,-
'26:04.824',-,-,-,-,-,-,0.552,0.504,102.000,-
'26:04.832',-,-,-,-,-,-,0.616,0.576,100.800,-
'26:04.840',-,-,-,-,-,-,0.632,0.600,99.600,-
'26:04.848',-,-,-,-,-,-,0.632,0.624,98.400,-
'26:04.856',-,-,-,-,-,-,0.568,0.552,97.200,-
'26:04.864',-,-,-,-,-,-,0.504,0.488,94.800,-
'26:04.872',-,-,-,-,-,-,0.376,0.416,93.600,-
'26:04.880',-,-,-,-,-,-,0.272,0.272,91.200,-
'26:04.888',-,-,-,-,-,-,0.184,0.184,87.600,-
'26:04.896',-,-,-,-,-,-,0.144,0.136,84.000,-
'26:04.904',-,-,-,-,-,-,0.104,0.088,81.600,-
'26:04.912',-,-,-,-,-,-,0.056,0.040,79.200,-
'26:04.920',-,-,-,-,-,-,0.016,0.016,78.000,-
'26:04.928',-,-,-,-,-,-,0.000,-0.016,78.000,-
'26:04.936',-,-,-,-,-,-,-0.016,-0.040,76.800,-
'26:04.944',-,-,-,-,-,-,-0.040,-0.040,76.800,-
'26:04.952',-,-,-,-,-,-,-0.056,-0.064,75.600,-
'26:04.960',-,-,-,-,-,-,-0.056,-0.088,74.400,-
'26:04.968',-,-,-,-,-,-,-0.056,-0.064,74.400,-
'26:04.976',-,-,-,-,-,-,-0.056,-0.088,74.400,-
'26:04.984',-,-,-,-,-,-,-0.080,-0.112,73.200,-
'26:04.992',-,-,-,-,-,-,-0.104,-0.112,72.000,-
'26:05.000',-,-,-,-,-,-,-0.080,-0.112,72.000,-
'26:05.008',-,-,-,-,-,-,-0.056,-0.112,72.000,-
'26:05.016',-,-,-,-,-,-,-0.040,-0.088,72.000,-
'26:05.024',-,-,-,-,-,-,-0.040,-0.064,72.000,-
'26:05.032',-,-,-,-,-,-,-0.040,-0.064,70.800,-
'26:05.040',-,-,-,-,-,-,-0.056,-0.040,70.800,-
'26:05.048',-,-,-,-,-,-,-0.080,-0.088,70.800,-
'26:05.056',-,-,-,-,-,-,-0.080,-0.112,70.800,-
'26:05.064',-,-,-,-,-,-,-0.080,-0.112,70.800,-
'26:05.072',-,-,-,-,-,-,-0.080,-0.088,70.800,-
'26:05.080',-,-,-,-,-,-,-0.080,-0.112,70.800,-
'26:05.088',-,-,-,-,-,-,-0.056,-0.088,70.800,-
'26:05.096',-,-,-,-,-,-,0.000,-0.112,70.800,-
'26:05.104',-,-,-,-,-,-,0.040,0.016,69.600,-
'26:05.112',-,-,-,-,-,-,-0.056,0.064,69.600,-
'26:05.120',-,-,-,-,-,-,-0.336,-0.088,68.400,-
'26:05.128',-,-,-,-,-,-,-0.656,-0.440,68.400,-
'26:05.136',-,-,-,-,-,-,-0.760,-0.832,67.200,-
'26:05.144',-,-,-,-,-,-,-0.632,-0.856,66.000,-
'26:05.152',-,-,-,-,-,-,-0.464,-0.528,66.000,-
'26:05.160',-,-,-,-,-,-,-0.360,-0.416,64.800,-
'26:05.168',-,-,-,-,-,-,-0.248,-0.296,64.800,-
'26:05.176',-,-,-,-,-,-,-0.208,-0.208,64.800,-
'26:05.184',-,-,-,-,-,-,-0.168,-0.184,64.800,-
'26:05.192',-,-,-,-,-,-,-0.144,-0.160,67.200,-
'26:05.200',-,-,-,-,-,-,-0.104,-0.160,69.600,-
'26:05.208',-,-,-,-,-,-,-0.080,-0.112,73.200,-
'26:05.216',-,-,-,-,-,-,-0.056,-0.064,80.400,-
'26:05.224',-,-,-,-,-,-,-0.056,-0.040,88.800,-
'26:05.232',-,-,-,-,-,-,-0.080,-0.088,94.800,-
'26:05.240',-,-,-,-,-,-,-0.080,-0.112,97.200,-
'26:05.248',-,-,-,-,-,-,-0.016,-0.064,99.600,-
'26:05.256',-,-,-,-,-,-,0.016,0.000,100.800,-
'26:05.264',-,-,-,-,-,-,0.040,0.000,102.000,-
'26:05.272',-,-,-,-,-,-,0.040,0.000,104.400,-
'26:05.280',-,-,-,-,-,-,0.056,0.000,104.400,-
'26:05.288',-,-,-,-,-,-,0.120,0.040,104.400,-
'26:05.296',-,-,-,-,-,-,0.184,0.112,104.400,-
