'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'35:18:56.576',-,-0.032,-,-,0.008,-,64.320,-
'35:18:56.584',-,0.000,-,-,0.008,-,64.320,-
'35:18:56.592',-,0.000,-,-,0.000,-,63.360,-
'35:18:56.600',-,0.136,-,-,-0.032,-,63.360,-
'35:18:56.608',-,0.200,-,-,-0.064,-,63.360,-
'35:18:56.616',-,0.200,-,-,-0.072,-,63.360,-
'35:18:56.624',-,0.136,-,-,-0.128,-,61.920,-
'35:18:56.632',-,0.168,-,-,-0.168,-,61.920,-
'35:18:56.640',-,0.136,-,-,-0.144,-,60.960,-
'35:18:56.648',-,0.168,-,-,-0.144,-,60.960,-
'35:18:56.656',-,0.136,-,-,-0.144,-,60.960,-
'35:18:56.664',-,0.000,-,-,-0.136,-,59.520,-
'35:18:56.672',-,-0.168,-,-,-0.080,-,59.520,-
'35:18:56.680',-,-0.344,-,-,-0.040,-,59.520,-
'35:18:56.688',-,-0.512,-,-,0.008,-,58.560,-
'35:18:56.696',-,-0.584,-,-,0.048,-,58.560,-
'35:18:56.704',-,-0.616,-,-,0.088,-,58.560,-
'35:18:56.712',-,-0.376,-,-,0.080,-,58.560,-
'35:18:56.720',-,-0.240,-,-,0.072,-,57.120,-
'35:18:56.728',-,-0.136,-,-,0.048,-,57.120,-
'35:18:56.736',-,-0.064,-,-,0.048,-,57.120,-
'35:18:56.744',-,-0.064,-,-,0.064,-,57.120,-
'35:18:56.752',-,-0.064,-,-,0.072,-,57.120,-
'35:18:56.760',-,-0.064,-,-,0.072,-,57.120,-
'35:18:56.768',-,-0.064,-,-,0.064,-,57.120,-
'35:18:56.776',-,-0.064,-,-,0.072,-,58.560,-
'35:18:56.784',-,-0.032,-,-,0.072,-,59.520,-
'35:18:56.792',-,-0.064,-,-,0.072,-,60.960,-
'35:18:56.800',-,-0.032,-,-,0.072,-,63.360,-
'35:18:56.808',-,-0.064,-,-,0.080,-,66.720,-
'35:18:56.816',-,-0.032,-,-,0.080,-,70.560,-
'35:18:56.824',-,-0.064,-,-,0.088,-,73.920,-
'35:18:56.832',-,-0.032,-,-,0.080,-,77.760,-
'35:18:56.840',-,-0.032,-,-,0.088,-,81.120,-
'35:18:56.848',-,-0.032,-,-,0.088,-,84.960,-
'35:18:56.856',-,-0.032,-,-,0.096,-,87.360,-
'35:18:56.864',-,0.000,-,-,0.080,-,90.720,-
'35:18:56.872',-,0.000,-,-,0.088,-,92.160,-
'35:18:56.880',-,0.000,-,-,0.072,-,94.560,-
'35:18:56.888',-,0.032,-,-,0.072,-,95.520,-
'35:18:56.896',-,0.064,-,-,0.048,-,96.960,-
'35:18:56.904',-,0.064,-,-,0.032,-,96.960,-
'35:18:56.912',-,0.096,-,-,0.016,-,96.960,-
'35:18:56.920',-,0.096,-,-,0.008,-,95.520,-
'35:18:56.928',-,0.136,-,-,-0.008,-,95.520,-
'35:18:56.936',-,0.136,-,-,-0.016,-,94.560,-
'35:18:56.944',-,0.136,-,-,-0.016,-,92.160,-
'35:18:56.952',-,0.168,-,-,-0.040,-,90.720,-
'35:18:56.960',-,0.200,-,-,-0.032,-,88.320,-
'35:18:56.968',-,0.200,-,-,-0.064,-,85.920,-
'35:18:56.976',-,0.240,-,-,-0.096,-,83.520,-
'35:18:56.984',-,0.200,-,-,-0.136,-,81.120,-
'35:18:56.992',-,0.240,-,-,-0.144,-,77.760,-
'35:18:57.000',-,0.200,-,-,-0.128,-,75.360,-
'35:18:57.008',-,0.168,-,-,-0.112,-,72.960,-
'35:18:57.016',-,0.096,-,-,-0.088,-,70.560,-
'35:18:57.024',-,0.032,-,-,-0.064,-,69.120,-
'35:18:57.032',-,0.000,-,-,-0.024,-,69.120,-
'35:18:57.040',-,-0.032,-,-,-0.016,-,68.160,-
'35:18:57.048',-,-0.032,-,-,-0.008,-,68.160,-
'35:18:57.056',-,-0.064,-,-,0.000,-,68.160,-
'35:18:57.064',-,-0.032,-,-,-0.008,-,68.160,-
'35:18:57.072',-,-0.032,-,-,0.000,-,69.120,-
'35:18:57.080',-,-0.032,-,-,-0.008,-,69.120,-
'35:18:57.088',-,-0.064,-,-,-0.008,-,69.120,-
'35:18:57.096',-,-0.032,-,-,0.000,-,69.120,-
'35:18:57.104',-,-0.064,-,-,0.000,-,69.120,-
'35:18:57.112',-,-0.064,-,-,0.000,-,69.120,-
'35:18:57.120',-,-0.032,-,-,0.000,-,69.120,-
'35:18:57.128',-,-0.064,-,-,0.000,-,69.120,-
'35:18:57.136',-,-0.032,-,-,0.000,-,69.120,-
'35:18:57.144',-,-0.064,-,-,0.000,-,69.120,-
'35:18:57.152',-,-0.032,-,-,0.000,-,69.120,-
'35:18:57.160',-,0.000,-,-,0.000,-,69.120,-
'35:18:57.168',-,0.096,-,-,-0.040,-,68.160,-
'35:18:57.176',-,0.200,-,-,-0.072,-,68.160,-
'35:18:57.184',-,0.168,-,-,-0.064,-,66.720,-
'35:18:57.192',-,0.136,-,-,-0.136,-,66.720,-
'35:18:57.200',-,0.168,-,-,-0.176,-,65.760,-
'35:18:57.208',-,0.136,-,-,-0.152,-,65.760,-
'35:18:57.216',-,0.168,-,-,-0.152,-,65.760,-
'35:18:57.224',-,0.136,-,-,-0.144,-,64.320,-
'35:18:57.232',-,0.000,-,-,-0.136,-,64.320,-
'35:18:57.240',-,-0.168,-,-,-0.096,-,63.360,-
'35:18:57.248',-,-0.344,-,-,-0.040,-,63.360,-
'35:18:57.256',-,-0.512,-,-,0.000,-,61.920,-
'35:18:57.264',-,-0.584,-,-,0.048,-,61.920,-
'35:18:57.272',-,-0.616,-,-,0.080,-,61.920,-
'35:18:57.280',-,-0.376,-,-,0.072,-,61.920,-
'35:18:57.288',-,-0.240,-,-,0.072,-,60.960,-
'35:18:57.296',-,-0.136,-,-,0.048,-,60.960,-
'35:18:57.304',-,-0.064,-,-,0.048,-,60.960,-
'35:18:57.312',-,-0.064,-,-,0.048,-,60.960,-
'35:18:57.320',-,-0.064,-,-,0.064,-,60.960,-
'35:18:57.328',-,-0.064,-,-,0.072,-,59.520,-
'35:18:57.336',-,-0.064,-,-,0.072,-,59.520,-
'35:18:57.344',-,-0.064,-,-,0.072,-,59.520,-
'35:18:57.352',-,-0.064,-,-,0.072,-,59.520,-
