'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'15:23.192',0.043,-,-,-,-,32.800,39.360
'15:23.200',0.043,-,-,-,-,35.200,38.160
'15:23.208',0.017,-,-,-,-,36.800,38.760
'15:23.216',0.009,-,-,-,-,39.200,41.160
'15:23.224',0.000,-,-,-,-,40.800,44.520
'15:23.232',0.000,-,-,-,-,42.400,44.880
'15:23.240',0.000,-,-,-,-,44.000,44.880
'15:23.248',0.000,-,-,-,-,44.800,44.880
'15:23.256',-0.009,-,-,-,-,45.600,44.880
'15:23.264',-0.017,-,-,-,-,46.400,44.880
'15:23.272',-0.017,-,-,-,-,47.200,44.880
'15:23.280',-0.017,-,-,-,-,47.200,44.880
'15:23.288',-0.017,-,-,-,-,47.200,44.160
'15:23.296',-0.009,-,-,-,-,47.200,40.560
'15:23.304',0.017,-,-,-,-,46.400,36.720
'15:23.312',0.043,-,-,-,-,46.400,33.120
'15:23.320',0.043,-,-,-,-,45.600,30.120
'15:23.328',0.009,-,-,-,-,44.800,28.560
'15:23.336',-0.009,-,-,-,-,44.800,28.920
'15:23.344',-0.017,-,-,-,-,44.000,30.720
'15:23.352',-0.017,-,-,-,-,44.800,33.360
'15:23.360',-0.017,-,-,-,-,45.600,35.760
'15:23.368',-0.017,-,-,-,-,46.400,37.920
'15:23.376',-0.009,-,-,-,-,48.000,40.080
'15:23.384',0.000,-,-,-,-,48.800,42.480
'15:23.392',0.009,-,-,-,-,50.400,44.160
'15:23.400',0.009,-,-,-,-,52.000,44.520
'15:23.408',0.017,-,-,-,-,53.600,43.560
'15:23.416',0.017,-,-,-,-,55.200,41.280
'15:23.424',0.017,-,-,-,-,56.800,38.880
'15:23.432',0.017,-,-,-,-,58.400,36.480
'15:23.440',0.035,-,-,-,-,60.800,34.680
'15:23.448',0.043,-,-,-,-,62.400,33.720
'15:23.456',0.035,-,-,-,-,64.000,35.280
'15:23.464',0.000,-,-,-,-,64.800,39.360
'15:23.472',-0.017,-,-,-,-,65.600,42.120
'15:23.480',-0.052,-,-,-,-,65.600,40.080
'15:23.488',-0.070,-,-,-,-,65.600,34.320
'15:23.496',-0.078,-,-,-,-,64.000,28.320
'15:23.504',-0.078,-,-,-,-,62.400,25.080
'15:23.512',-0.078,-,-,-,-,60.000,25.920
