'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'35:34:30.576',-,0.136,-,-,-0.144,-,60.960,-
'35:34:30.584',-,0.000,-,-,-0.128,-,60.960,-
'35:34:30.592',-,-0.064,-,-,-0.096,-,60.960,-
'35:34:30.600',-,-0.240,-,-,-0.072,-,59.520,-
'35:34:30.608',-,-0.408,-,-,-0.024,-,59.520,-
'35:34:30.616',-,-0.512,-,-,0.016,-,59.520,-
'35:34:30.624',-,-0.544,-,-,0.072,-,58.560,-
'35:34:30.632',-,-0.448,-,-,0.096,-,58.560,-
'35:34:30.640',-,-0.304,-,-,0.080,-,58.560,-
'35:34:30.648',-,-0.168,-,-,0.072,-,58.560,-
'35:34:30.656',-,-0.064,-,-,0.064,-,58.560,-
'35:34:30.664',-,-0.064,-,-,0.072,-,58.560,-
'35:34:30.672',-,-0.064,-,-,0.072,-,57.120,-
'35:34:30.680',-,-0.064,-,-,0.080,-,57.120,-
'35:34:30.688',-,-0.064,-,-,0.088,-,57.120,-
'35:34:30.696',-,-0.064,-,-,0.072,-,57.120,-
'35:34:30.704',-,-0.032,-,-,0.088,-,57.120,-
'35:34:30.712',-,-0.064,-,-,0.080,-,58.560,-
'35:34:30.720',-,-0.032,-,-,0.088,-,59.520,-
'35:34:30.728',-,-0.064,-,-,0.072,-,61.920,-
'35:34:30.736',-,-0.032,-,-,0.088,-,64.320,-
'35:34:30.744',-,-0.064,-,-,0.088,-,66.720,-
'35:34:30.752',-,-0.032,-,-,0.096,-,70.560,-
'35:34:30.760',-,-0.032,-,-,0.096,-,73.920,-
'35:34:30.768',-,-0.032,-,-,0.088,-,77.760,-
'35:34:30.776',-,0.000,-,-,0.104,-,81.120,-
'35:34:30.784',-,0.000,-,-,0.096,-,83.520,-
'35:34:30.792',-,0.000,-,-,0.104,-,85.920,-
'35:34:30.800',-,0.000,-,-,0.096,-,88.320,-
'35:34:30.808',-,0.000,-,-,0.080,-,90.720,-
'35:34:30.816',-,0.032,-,-,0.072,-,92.160,-
'35:34:30.824',-,0.064,-,-,0.048,-,92.160,-
'35:34:30.832',-,0.064,-,-,0.032,-,92.160,-
'35:34:30.840',-,0.096,-,-,0.024,-,92.160,-
'35:34:30.848',-,0.136,-,-,0.008,-,92.160,-
'35:34:30.856',-,0.096,-,-,0.000,-,90.720,-
'35:34:30.864',-,0.136,-,-,-0.016,-,89.760,-
'35:34:30.872',-,0.096,-,-,-0.016,-,88.320,-
'35:34:30.880',-,0.064,-,-,-0.032,-,85.920,-
'35:34:30.888',-,0.064,-,-,-0.024,-,83.520,-
'35:34:30.896',-,0.064,-,-,-0.032,-,81.120,-
'35:34:30.904',-,0.064,-,-,-0.024,-,78.720,-
'35:34:30.912',-,0.096,-,-,-0.016,-,76.320,-
'35:34:30.920',-,0.136,-,-,-0.024,-,73.920,-
'35:34:30.928',-,0.136,-,-,-0.040,-,71.520,-
'35:34:30.936',-,0.200,-,-,-0.088,-,69.120,-
'35:34:30.944',-,0.200,-,-,-0.112,-,68.160,-
'35:34:30.952',-,0.200,-,-,-0.128,-,66.720,-
'35:34:30.960',-,0.200,-,-,-0.128,-,65.760,-
'35:34:30.968',-,0.168,-,-,-0.112,-,65.760,-
'35:34:30.976',-,0.136,-,-,-0.088,-,64.320,-
'35:34:30.984',-,0.064,-,-,-0.064,-,64.320,-
'35:34:30.992',-,0.000,-,-,-0.032,-,65.760,-
'35:34:31.000',-,-0.064,-,-,-0.016,-,65.760,-
'35:34:31.008',-,-0.136,-,-,-0.008,-,65.760,-
'35:34:31.016',-,-0.168,-,-,0.000,-,66.720,-
'35:34:31.024',-,-0.096,-,-,0.024,-,66.720,-
'35:34:31.032',-,0.000,-,-,0.048,-,66.720,-
'35:34:31.040',-,0.064,-,-,0.088,-,68.160,-
'35:34:31.048',-,0.168,-,-,0.136,-,68.160,-
'35:34:31.056',-,0.344,-,-,0.168,-,68.160,-
