'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'17:45.192',0.000,-,-,-,-,56.000,17.280
'17:45.200',-0.017,-,-,-,-,52.800,16.680
'17:45.208',-0.078,-,-,-,-,50.400,15.480
'17:45.216',-0.096,-,-,-,-,47.200,14.520
'17:45.224',-0.009,-,-,-,-,44.000,14.160
'17:45.232',0.052,-,-,-,-,40.800,14.520
'17:45.240',0.078,-,-,-,-,37.600,15.720
'17:45.248',0.078,-,-,-,-,34.400,18.120
'17:45.256',0.070,-,-,-,-,32.000,21.480
'17:45.264',0.070,-,-,-,-,28.800,24.960
'17:45.272',0.070,-,-,-,-,26.400,25.320
'17:45.280',0.070,-,-,-,-,24.000,21.120
'17:45.288',0.070,-,-,-,-,21.600,13.560
'17:45.296',0.078,-,-,-,-,20.000,8.280
'17:45.304',0.078,-,-,-,-,19.200,9.840
'17:45.312',0.078,-,-,-,-,19.200,18.480
'17:45.320',0.078,-,-,-,-,20.800,29.520
'17:45.328',0.078,-,-,-,-,21.600,37.560
'17:45.336',0.078,-,-,-,-,23.200,39.960
'17:45.344',0.078,-,-,-,-,25.600,36.960
'17:45.352',0.104,-,-,-,-,27.200,30.960
'17:45.360',0.104,-,-,-,-,29.600,25.080
'17:45.368',0.078,-,-,-,-,31.200,21.480
'17:45.376',0.070,-,-,-,-,32.800,21.120
'17:45.384',0.043,-,-,-,-,34.400,23.160
'17:45.392',0.035,-,-,-,-,36.000,25.920
'17:45.400',0.035,-,-,-,-,37.600,28.320
'17:45.408',0.035,-,-,-,-,38.400,29.160
'17:45.416',0.009,-,-,-,-,40.000,28.080
'17:45.424',0.017,-,-,-,-,40.800,25.680
'17:45.432',0.035,-,-,-,-,40.800,23.160
'17:45.440',0.035,-,-,-,-,41.600,21.120
'17:45.448',0.017,-,-,-,-,42.400,20.280
'17:45.456',0.009,-,-,-,-,42.400,21.120
'17:45.464',0.017,-,-,-,-,42.400,22.560
'17:45.472',0.043,-,-,-,-,41.600,23.520
'17:45.480',0.043,-,-,-,-,41.600,22.920
'17:45.488',0.035,-,-,-,-,40.800,20.280
'17:45.496',0.017,-,-,-,-,40.000,16.680
'17:45.504',0.009,-,-,-,-,40.000,13.680
'17:45.512',0.017,-,-,-,-,40.000,12.960
'17:45.520',0.017,-,-,-,-,40.800,14.160
'17:45.528',0.009,-,-,-,-,41.600,16.560
'17:45.536',0.009,-,-,-,-,42.400,19.080
'17:45.544',0.017,-,-,-,-,44.000,21.360
'17:45.552',0.017,-,-,-,-,44.800,22.320
'17:45.560',0.017,-,-,-,-,46.400,22.080
'17:45.568',0.009,-,-,-,-,48.000,20.760
'17:45.576',0.009,-,-,-,-,49.600,19.080
'17:45.584',0.009,-,-,-,-,52.000,17.880
'17:45.592',0.009,-,-,-,-,53.600,17.520
'17:45.600',0.009,-,-,-,-,56.000,17.520
'17:45.608',0.009,-,-,-,-,57.600,18.120
'17:45.616',0.000,-,-,-,-,59.200,19.320
'17:45.624',-0.009,-,-,-,-,61.600,19.920
'17:45.632',-0.017,-,-,-,-,62.400,19.080
'17:45.640',-0.009,-,-,-,-,63.200,17.760
'17:45.648',-0.009,-,-,-,-,64.000,16.320
'17:45.656',-0.017,-,-,-,-,63.200,15.720
'17:45.664',0.000,-,-,-,-,61.600,15.960
'17:45.672',0.009,-,-,-,-,60.000,16.680
'17:45.680',0.000,-,-,-,-,57.600,17.880
'17:45.688',-0.017,-,-,-,-,55.200,19.080
'17:45.696',-0.043,-,-,-,-,52.000,19.920
'17:45.704',-0.096,-,-,-,-,49.600,19.920
'17:45.712',-0.130,-,-,-,-,46.400,19.560
'17:45.720',-0.104,-,-,-,-,43.200,18.960
'17:45.728',-0.009,-,-,-,-,40.000,18.720
'17:45.736',0.052,-,-,-,-,36.800,19.080
'17:45.744',0.070,-,-,-,-,33.600,20.160
'17:45.752',0.070,-,-,-,-,31.200,22.320
'17:45.760',0.043,-,-,-,-,28.800,25.560
'17:45.768',0.035,-,-,-,-,25.600,28.560
'17:45.776',0.035,-,-,-,-,24.000,28.560
'17:45.784',0.035,-,-,-,-,21.600,23.880
'17:45.792',0.035,-,-,-,-,20.000,16.920
'17:45.800',0.043,-,-,-,-,19.200,12.120
'17:45.808',0.043,-,-,-,-,19.200,14.160
'17:45.816',0.035,-,-,-,-,20.000,22.560
'17:45.824',0.043,-,-,-,-,21.600,32.880
'17:45.832',0.043,-,-,-,-,23.200,40.680
'17:45.840',0.035,-,-,-,-,24.800,43.320
'17:45.848',0.035,-,-,-,-,27.200,40.560
'17:45.856',0.017,-,-,-,-,29.600,34.920
'17:45.864',0.009,-,-,-,-,31.200,29.280
'17:45.872',-0.009,-,-,-,-,33.600,26.280
'17:45.880',-0.035,-,-,-,-,35.200,26.280
'17:45.888',-0.043,-,-,-,-,37.600,28.680
'17:45.896',-0.043,-,-,-,-,39.200,31.680
'17:45.904',-0.043,-,-,-,-,40.000,33.480
'17:45.912',-0.043,-,-,-,-,41.600,33.960
'17:45.920',-0.035,-,-,-,-,42.400,33.120
'17:45.928',-0.017,-,-,-,-,44.000,31.920
'17:45.936',0.000,-,-,-,-,44.800,30.480
'17:45.944',0.000,-,-,-,-,44.800,29.520
'17:45.952',0.009,-,-,-,-,45.600,28.920
'17:45.960',0.009,-,-,-,-,45.600,28.920
'17:45.968',0.009,-,-,-,-,45.600,28.920
'17:45.976',0.009,-,-,-,-,45.600,28.680
'17:45.984',0.000,-,-,-,-,44.800,27.960
'17:45.992',0.000,-,-,-,-,44.800,26.760
'17:46.000',0.000,-,-,-,-,44.000,24.960
'17:46.008',0.000,-,-,-,-,43.200,24.120
'17:46.016',0.009,-,-,-,-,42.400,24.480
'17:46.024',0.000,-,-,-,-,41.600,26.160
'17:46.032',0.000,-,-,-,-,41.600,28.080
'17:46.040',0.009,-,-,-,-,41.600,29.760
'17:46.048',0.009,-,-,-,-,42.400,29.760
'17:46.056',0.017,-,-,-,-,44.000,28.680
'17:46.064',0.035,-,-,-,-,44.800,27.360
'17:46.072',0.035,-,-,-,-,46.400,26.520
'17:46.080',0.035,-,-,-,-,48.000,26.760
'17:46.088',0.035,-,-,-,-,48.800,27.360
'17:46.096',0.017,-,-,-,-,51.200,27.720
'17:46.104',0.009,-,-,-,-,52.800,27.960
'17:46.112',0.009,-,-,-,-,54.400,28.680
'17:46.120',0.000,-,-,-,-,56.000,29.880
'17:46.128',-0.009,-,-,-,-,58.400,30.720
'17:46.136',0.000,-,-,-,-,60.000,29.880
'17:46.144',0.000,-,-,-,-,61.600,28.320
'17:46.152',0.000,-,-,-,-,63.200,26.520
'17:46.160',-0.009,-,-,-,-,64.000,25.680
'17:46.168',0.000,-,-,-,-,64.000,26.160
'17:46.176',0.000,-,-,-,-,64.000,27.480
'17:46.184',0.000,-,-,-,-,62.400,29.280
'17:46.192',-0.017,-,-,-,-,60.800,30.720
'17:46.200',-0.052,-,-,-,-,58.400,31.320
'17:46.208',-0.113,-,-,-,-,56.000,30.720
'17:46.216',-0.139,-,-,-,-,53.600,29.760
'17:46.224',-0.070,-,-,-,-,50.400,28.920
'17:46.232',0.035,-,-,-,-,47.200,28.560
'17:46.240',0.070,-,-,-,-,44.800,29.280
'17:46.248',0.043,-,-,-,-,41.600,31.080
'17:46.256',0.017,-,-,-,-,39.200,34.080
'17:46.264',0.009,-,-,-,-,36.000,36.480
'17:46.272',0.000,-,-,-,-,33.600,36.720
'17:46.280',0.000,-,-,-,-,31.200,34.560
'17:46.288',0.000,-,-,-,-,28.800,30.720
'17:46.296',0.000,-,-,-,-,27.200,26.760
'17:46.304',0.000,-,-,-,-,25.600,25.320
'17:46.312',0.000,-,-,-,-,25.600,27.960
'17:46.320',0.009,-,-,-,-,25.600,33.480
'17:46.328',0.009,-,-,-,-,26.400,39.480
'17:46.336',0.009,-,-,-,-,28.000,43.680
'17:46.344',0.009,-,-,-,-,29.600,44.760
'17:46.352',0.000,-,-,-,-,31.200,42.960
