'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'13:55:41.432',-0.056,-,-,0.014,76.800
'13:55:41.440',-0.069,-,-,0.000,76.000
'13:55:41.448',-0.069,-,-,0.000,75.200
'13:55:41.456',-0.083,-,-,-0.014,74.400
'13:55:41.464',-0.083,-,-,0.000,73.600
'13:55:41.472',-0.083,-,-,-0.028,72.800
'13:55:41.480',-0.069,-,-,-0.028,72.800
'13:55:41.488',-0.069,-,-,-0.042,72.800
'13:55:41.496',-0.069,-,-,-0.028,72.800
'13:55:41.504',-0.056,-,-,-0.042,72.800
'13:55:41.512',-0.056,-,-,-0.056,73.600
'13:55:41.520',-0.042,-,-,-0.056,75.200
'13:55:41.528',-0.042,-,-,-0.070,77.600
'13:55:41.536',-0.028,-,-,-0.070,80.000
'13:55:41.544',-0.028,-,-,-0.070,83.200
'13:55:41.552',-0.014,-,-,-0.056,85.600
'13:55:41.560',0.000,-,-,-0.070,87.200
'13:55:41.568',0.014,-,-,-0.056,88.000
'13:55:41.576',0.014,-,-,-0.042,87.200
'13:55:41.584',0.028,-,-,-0.042,85.600
'13:55:41.592',0.042,-,-,-0.028,84.000
'13:55:41.600',0.042,-,-,-0.028,81.600
'13:55:41.608',0.042,-,-,-0.028,78.400
'13:55:41.616',0.042,-,-,-0.014,76.000
'13:55:41.624',0.042,-,-,0.000,72.800
'13:55:41.632',0.042,-,-,0.000,71.200
'13:55:41.640',0.056,-,-,0.028,69.600
'13:55:41.648',0.069,-,-,0.056,68.800
'13:55:41.656',0.083,-,-,0.085,68.800
'13:55:41.664',0.083,-,-,0.085,68.800
'13:55:41.672',0.083,-,-,0.113,68.800
'13:55:41.680',0.083,-,-,0.127,69.600
'13:55:41.688',0.083,-,-,0.113,69.600
'13:55:41.696',0.069,-,-,0.127,69.600
'13:55:41.704',0.069,-,-,0.127,69.600
'13:55:41.712',0.069,-,-,0.127,69.600
'13:55:41.720',0.083,-,-,0.127,68.800
'13:55:41.728',0.083,-,-,0.141,68.000
'13:55:41.736',0.069,-,-,0.127,68.000
'13:55:41.744',0.069,-,-,0.113,67.200
'13:55:41.752',0.056,-,-,0.085,67.200
'13:55:41.760',0.042,-,-,0.085,66.400
'13:55:41.768',0.042,-,-,0.085,66.400
'13:55:41.776',0.028,-,-,0.056,65.600
'13:55:41.784',0.028,-,-,0.056,65.600
'13:55:41.792',0.028,-,-,0.056,64.800
'13:55:41.800',0.014,-,-,0.056,64.800
'13:55:41.808',0.014,-,-,0.028,64.000
'13:55:41.816',0.028,-,-,0.056,64.000
'13:55:41.824',0.028,-,-,0.042,63.200
'13:55:41.832',0.028,-,-,0.056,63.200
'13:55:41.840',0.014,-,-,0.056,62.400
'13:55:41.848',0.014,-,-,0.028,62.400
'13:55:41.856',0.028,-,-,0.056,62.400
