'Elapsed time','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'13:15:03.352',0.448,-,-,76.800,19.200
'13:15:03.360',0.432,-,-,75.200,20.000
'13:15:03.368',0.464,-,-,72.800,20.400
'13:15:03.376',0.448,-,-,71.200,20.400
'13:15:03.384',0.464,-,-,68.800,20.400
'13:15:03.392',0.448,-,-,67.200,20.800
'13:15:03.400',0.480,-,-,65.600,22.000
'13:15:03.408',0.448,-,-,63.200,22.800
'13:15:03.416',0.480,-,-,61.600,23.600
'13:15:03.424',0.496,-,-,60.000,24.400
'13:15:03.432',0.480,-,-,58.400,25.200
'13:15:03.440',0.528,-,-,56.800,26.000
'13:15:03.448',0.512,-,-,55.200,26.800
'13:15:03.456',0.560,-,-,53.600,27.200
'13:15:03.464',0.528,-,-,52.000,27.600
'13:15:03.472',0.560,-,-,51.200,27.600
'13:15:03.480',0.512,-,-,49.600,26.800
'13:15:03.488',0.512,-,-,48.000,26.000
'13:15:03.496',0.448,-,-,47.200,25.200
'13:15:03.504',0.416,-,-,45.600,23.600
'13:15:03.512',0.336,-,-,44.000,22.400
'13:15:03.520',0.288,-,-,43.200,20.800
'13:15:03.528',0.224,-,-,41.600,19.200
'13:15:03.536',0.176,-,-,40.800,17.600
'13:15:03.544',0.112,-,-,40.000,16.000
'13:15:03.552',0.080,-,-,39.200,14.400
'13:15:03.560',0.032,-,-,38.400,12.400
'13:15:03.568',0.000,-,-,37.600,11.200
'13:15:03.576',-0.032,-,-,36.000,10.800
'13:15:03.584',-0.032,-,-,35.200,11.200
'13:15:03.592',-0.064,-,-,34.400,12.000
'13:15:03.600',-0.048,-,-,34.400,13.600
'13:15:03.608',-0.080,-,-,33.600,15.200
'13:15:03.616',-0.080,-,-,33.600,16.400
'13:15:03.624',-0.096,-,-,32.800,17.200
'13:15:03.632',-0.080,-,-,32.000,18.000
'13:15:03.640',-0.112,-,-,31.200,18.400
'13:15:03.648',-0.080,-,-,31.200,18.400
'13:15:03.656',-0.096,-,-,31.200,18.000
'13:15:03.664',-0.112,-,-,31.200,17.200
'13:15:03.672',-0.080,-,-,31.200,16.000
'13:15:03.680',-0.112,-,-,30.400,14.800
'13:15:03.688',-0.080,-,-,30.400,14.000
'13:15:03.696',-0.112,-,-,30.400,12.800
'13:15:03.704',-0.080,-,-,30.400,12.400
'13:15:03.712',-0.112,-,-,30.400,11.600
'13:15:03.720',-0.080,-,-,30.400,11.600
'13:15:03.728',-0.112,-,-,30.400,11.600
'13:15:03.736',-0.080,-,-,31.200,11.600
'13:15:03.744',-0.112,-,-,32.000,11.600
'13:15:03.752',-0.080,-,-,32.800,12.000
'13:15:03.760',-0.096,-,-,33.600,12.400
'13:15:03.768',-0.080,-,-,34.400,12.800
'13:15:03.776',-0.096,-,-,35.200,13.200
'13:15:03.784',-0.064,-,-,36.000,13.200
'13:15:03.792',-0.080,-,-,37.600,13.200
'13:15:03.800',-0.064,-,-,38.400,12.800
'13:15:03.808',-0.080,-,-,39.200,12.800
'13:15:03.816',-0.032,-,-,40.000,12.400
'13:15:03.824',-0.016,-,-,41.600,12.400
'13:15:03.832',-0.032,-,-,42.400,12.000
'13:15:03.840',0.000,-,-,43.200,12.000
'13:15:03.848',-0.016,-,-,44.000,12.000
'13:15:03.856',0.000,-,-,45.600,11.600
'13:15:03.864',0.000,-,-,46.400,11.600
'13:15:03.872',-0.016,-,-,47.200,11.600
