'Elapsed time','I','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'6:06:39.240',0.000,-,-,-,-0.020,-,64.800,30.400
'6:06:39.248',0.000,-,-,-,-0.040,-,64.000,30.600
'6:06:39.256',0.000,-,-,-,-0.020,-,64.000,30.600
'6:06:39.264',0.000,-,-,-,-0.020,-,63.200,30.800
'6:06:39.272',0.000,-,-,-,-0.020,-,63.200,31.000
'6:06:39.280',0.000,-,-,-,-0.040,-,63.200,31.400
'6:06:39.288',0.000,-,-,-,-0.020,-,63.200,31.600
'6:06:39.296',0.000,-,-,-,-0.020,-,63.200,32.000
'6:06:39.304',0.000,-,-,-,-0.020,-,63.200,32.400
'6:06:39.312',0.000,-,-,-,-0.040,-,62.400,32.600
'6:06:39.320',0.000,-,-,-,-0.020,-,62.400,32.800
'6:06:39.328',0.000,-,-,-,-0.040,-,62.400,32.800
'6:06:39.336',0.000,-,-,-,-0.020,-,61.600,33.000
'6:06:39.344',0.000,-,-,-,-0.020,-,61.600,33.200
'6:06:39.352',0.000,-,-,-,-0.020,-,60.800,33.600
'6:06:39.360',0.000,-,-,-,-0.020,-,60.800,33.800
'6:06:39.368',0.000,-,-,-,-0.020,-,60.000,34.200
'6:06:39.376',0.000,-,-,-,-0.040,-,60.000,34.600
'6:06:39.384',0.000,-,-,-,-0.020,-,60.000,34.800
'6:06:39.392',0.000,-,-,-,-0.040,-,59.200,35.200
'6:06:39.400',0.000,-,-,-,-0.020,-,59.200,35.400
'6:06:39.408',0.000,-,-,-,-0.020,-,59.200,35.800
'6:06:39.416',0.000,-,-,-,-0.020,-,58.400,36.000
'6:06:39.424',0.000,-,-,-,-0.020,-,58.400,36.400
'6:06:39.432',0.000,-,-,-,-0.020,-,58.400,36.800
'6:06:39.440',0.000,-,-,-,-0.020,-,58.400,37.200
'6:06:39.448',0.000,-,-,-,0.000,-,58.400,37.800
'6:06:39.456',0.000,-,-,-,-0.020,-,57.600,38.200
'6:06:39.464',0.000,-,-,-,-0.020,-,57.600,38.600
'6:06:39.472',0.000,-,-,-,-0.020,-,57.600,38.800
'6:06:39.480',0.000,-,-,-,-0.020,-,56.800,39.000
'6:06:39.488',0.000,-,-,-,-0.020,-,56.800,39.000
'6:06:39.496',0.000,-,-,-,-0.020,-,56.000,38.800
'6:06:39.504',0.000,-,-,-,-0.040,-,56.000,38.800
'6:06:39.512',0.000,-,-,-,-0.020,-,55.200,38.800
'6:06:39.520',0.000,-,-,-,-0.020,-,55.200,39.000
'6:06:39.528',0.000,-,-,-,-0.020,-,55.200,39.000
'6:06:39.536',0.000,-,-,-,-0.020,-,55.200,39.000
'6:06:39.544',0.008,-,-,-,-0.020,-,55.200,39.200
'6:06:39.552',0.000,-,-,-,-0.020,-,55.200,39.200
'6:06:39.560',0.000,-,-,-,-0.020,-,54.400,39.200
'6:06:39.568',0.000,-,-,-,-0.020,-,54.400,39.400
'6:06:39.576',0.000,-,-,-,-0.020,-,54.400,39.400
'6:06:39.584',0.000,-,-,-,-0.020,-,54.400,39.400
'6:06:39.592',0.008,-,-,-,-0.020,-,54.400,39.400
