'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:15:18.432',-0.014,-,-,-0.113,84.800
'14:15:18.440',0.000,-,-,-0.070,82.400
'14:15:18.448',0.014,-,-,-0.028,80.000
'14:15:18.456',0.014,-,-,0.000,77.600
'14:15:18.464',0.028,-,-,0.000,76.000
'14:15:18.472',0.042,-,-,0.028,73.600
'14:15:18.480',0.042,-,-,0.056,72.800
'14:15:18.488',0.042,-,-,0.085,72.000
'14:15:18.496',0.056,-,-,0.085,71.200
'14:15:18.504',0.056,-,-,0.113,71.200
'14:15:18.512',0.069,-,-,0.127,71.200
'14:15:18.520',0.069,-,-,0.127,71.200
'14:15:18.528',0.069,-,-,0.141,71.200
'14:15:18.536',0.069,-,-,0.141,71.200
'14:15:18.544',0.069,-,-,0.127,70.400
'14:15:18.552',0.069,-,-,0.141,70.400
'14:15:18.560',0.069,-,-,0.127,69.600
'14:15:18.568',0.056,-,-,0.113,69.600
'14:15:18.576',0.042,-,-,0.113,68.800
'14:15:18.584',0.028,-,-,0.085,68.800
'14:15:18.592',0.028,-,-,0.070,68.000
'14:15:18.600',0.028,-,-,0.056,68.000
'14:15:18.608',0.028,-,-,0.056,67.200
'14:15:18.616',0.028,-,-,0.056,67.200
'14:15:18.624',0.014,-,-,0.056,67.200
'14:15:18.632',0.014,-,-,0.056,66.400
'14:15:18.640',0.014,-,-,0.056,66.400
'14:15:18.648',0.014,-,-,0.042,65.600
'14:15:18.656',0.014,-,-,0.042,65.600
'14:15:18.664',0.014,-,-,0.056,64.800
'14:15:18.672',0.014,-,-,0.042,64.800
'14:15:18.680',0.028,-,-,0.056,64.000
'14:15:18.688',0.042,-,-,0.070,64.000
'14:15:18.696',0.042,-,-,0.070,63.200
'14:15:18.704',0.028,-,-,0.085,63.200
'14:15:18.712',0.028,-,-,0.056,62.400
'14:15:18.720',0.042,-,-,0.056,62.400
'14:15:18.728',0.042,-,-,0.169,61.600
'14:15:18.736',0.014,-,-,0.042,61.600
'14:15:18.744',0.014,-,-,0.042,60.800
'14:15:18.752',0.014,-,-,0.056,60.800
